date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,21.136,4.236,11.458917,0.0,0.0,0.0,0.0,30.45566,58.679996,18.03,4.231649,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-02,19.886,2.386,11.375583,0.0,0.0,0.0,0.0,15.034041,29.16,19.18,3.7937596,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-03,22.835999,4.186,13.275582,0.0,0.0,0.0,0.0,16.516901,34.92,18.08,4.2552752,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-04,22.136,2.686,12.565167,0.0,0.0,0.0,0.0,12.181624,21.599998,19.48,4.0637627,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-05,22.585999,3.636,13.238083,0.0,0.0,0.0,0.0,15.617529,32.760002,19.07,4.3593307,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-06,22.286,8.536,15.063083,0.0,0.0,0.0,0.0,17.643673,37.8,18.81,4.259829,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-07,19.085999,7.3360004,13.448499,0.0,0.0,0.0,0.0,18.58451,34.56,13.05,3.3044634,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-08,22.136,7.1359997,14.585999,0.0,0.0,0.0,0.0,13.37825,31.319998,18.26,3.9679942,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-09,20.335999,7.8360004,13.717251,0.6,0.6,0.0,0.0,23.675303,50.399998,14.24,3.0770721,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-10,20.185999,6.486,12.760999,0.3,0.3,0.0,0.0,16.279802,34.56,18.15,3.4290383,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-11,20.685999,4.8360004,12.715167,0.0,0.0,0.0,0.0,21.096123,42.48,19.19,4.09405,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-12,21.136,5.6359997,12.715167,0.0,0.0,0.0,0.0,23.47741,46.8,19.51,4.2331166,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-13,18.185999,2.986,10.683917,0.0,0.0,0.0,0.0,20.774214,39.6,16.16,3.3517022,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-14,21.986,6.186,13.146415,0.0,0.0,0.0,0.0,15.034041,32.039997,14.8,3.4172556,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-15,21.386,4.5860004,12.7734995,0.0,0.0,0.0,0.0,15.725037,31.319998,18.66,4.0960183,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-16,22.585999,3.736,13.433917,0.0,0.0,0.0,0.0,15.893093,33.12,17.92,4.4990406,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-17,22.685999,9.436,15.554751,0.0,0.0,0.0,0.0,12.864649,30.599998,19.86,4.0831323,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-18,23.036,4.686,14.09225,0.0,0.0,0.0,0.0,16.1198,36.0,19.95,4.689298,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-19,23.786,9.086,16.22975,0.3,0.3,0.0,0.0,17.057314,32.760002,18.73,4.0386667,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-20,22.536,11.386001,16.352667,0.0,0.0,0.0,0.0,13.608762,28.08,12.86,2.7802737,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-21,24.886,9.586,16.82975,0.0,0.0,0.0,0.0,16.87398,37.44,18.66,3.9794946,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-22,26.036,9.136001,17.390165,0.0,0.0,0.0,0.0,17.238699,37.079998,19.8,4.379974,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-23,25.585999,10.936,17.57975,0.0,0.0,0.0,0.0,19.353138,39.96,18.75,4.688187,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-24,25.386,11.086,17.663082,0.0,0.0,0.0,0.0,23.838959,47.16,20.07,4.9912853,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
2021-01-25,24.136,8.436,16.050581,0.0,0.0,0.0,0.0,25.068514,50.399998,20.4,4.9592032,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,historical
