date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,19.779,7.779,13.451916,0.0,0.0,0.0,0.0,12.261158,22.68,12.64,3.1636195,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-02,20.129,7.079,13.6935835,0.0,0.0,0.0,0.0,9.72,18.72,12.05,2.5364769,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-03,20.379,6.829,13.051917,0.0,0.0,0.0,0.0,7.42159,17.28,12.44,2.469941,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-04,20.529,7.529,13.795667,0.0,0.0,0.0,0.0,8.759178,13.32,12.5,2.4795165,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-05,23.078999,8.879001,14.789414,0.0,0.0,0.0,0.0,9.504273,20.519999,12.93,2.8370864,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-06,22.279,8.679,15.139416,0.0,0.0,0.0,0.0,10.30883,13.32,11.78,2.6415288,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-07,22.828999,7.7289996,15.095665,0.0,0.0,0.0,0.0,9.0,18.0,12.71,2.8585198,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-08,22.379,9.729,15.37275,0.0,0.0,0.0,0.0,8.4042845,12.959999,11.31,2.5766711,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-09,22.078999,7.2289996,14.733166,0.0,0.0,0.0,0.0,13.1041975,23.759998,13.24,3.3503873,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-10,20.078999,6.8789997,13.635249,0.0,0.0,0.0,0.0,10.990322,21.24,13.06,3.1934352,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-11,20.379,5.679,12.8394165,0.0,0.0,0.0,0.0,11.013882,24.119999,13.45,3.1281266,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-12,20.229,6.179,12.891501,0.0,0.0,0.0,0.0,9.178235,15.119999,13.6,2.7363346,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-13,22.479,6.1289997,14.364415,0.0,0.0,0.0,0.0,9.983106,21.96,13.34,3.3107646,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-14,27.928999,10.979,18.487333,0.0,0.0,0.0,0.0,15.978484,29.16,13.46,4.151299,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-15,27.729,12.829,20.412333,0.0,0.0,0.0,0.0,11.885453,23.039999,13.88,4.527994,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-16,29.479,12.829,20.683167,0.0,0.0,0.0,0.0,15.077082,28.08,13.67,4.225613,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-17,27.328999,11.579,19.54775,0.0,0.0,0.0,0.0,11.808878,19.8,13.78,3.9521604,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-18,25.379,11.829,18.687334,0.0,0.0,0.0,0.0,10.390226,21.96,12.3,3.264283,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-19,18.928999,11.029,15.039417,1.7,1.7,0.0,0.0,20.421871,34.56,6.59,2.9589717,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-20,15.929,11.229,13.310249,14.599999,14.599999,0.0,0.0,13.584932,29.519999,3.95,0.8558563,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-21,21.229,11.079,15.166499,0.8,0.8,0.0,0.0,9.021574,15.84,12.21,2.0558705,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-22,20.529,9.779,14.710248,0.4,0.4,0.0,0.0,16.199999,27.72,12.81,2.1090443,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-23,17.229,10.129001,13.456082,0.7,0.7,0.0,0.0,19.881649,31.319998,10.58,2.3328547,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-24,16.729,7.079,11.3394165,0.2,0.2,0.0,0.0,18.678415,32.760002,12.87,2.511429,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-25,13.929,7.2289996,9.98525,0.1,0.1,0.0,0.0,25.630886,61.199997,8.91,2.128268,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-26,15.729,7.1289997,10.956084,0.0,0.0,0.0,0.0,24.482647,38.519997,14.95,2.9697094,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-27,15.529,3.379,9.081083,0.0,0.0,0.0,0.0,11.212135,17.28,14.51,2.1320627,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-28,17.578999,5.829,11.251916,0.0,0.0,0.0,0.0,8.311245,15.84,13.27,2.1365306,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-29,18.328999,6.3789997,12.08525,0.0,0.0,0.0,0.0,22.7057,38.16,12.74,2.4823503,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-30,18.479,5.679,11.820667,0.0,0.0,0.0,0.0,11.384198,16.919998,14.94,2.3936424,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-01-31,20.379,6.1289997,13.2144165,0.0,0.0,0.0,0.0,13.004921,20.880001,12.29,2.9038713,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-01,21.379,11.529,16.483166,0.0,0.0,0.0,0.0,11.966954,22.68,5.94,2.7840896,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-02,26.879,14.079,19.943583,0.0,0.0,0.0,0.0,8.39657,16.56,11.65,3.2811935,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-03,29.678999,14.429,20.845665,0.0,0.0,0.0,0.0,28.006058,44.639996,15.27,4.5451903,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-04,24.029,14.229,19.335249,0.0,0.0,0.0,0.0,20.771093,37.079998,16.22,5.529567,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-05,24.379,7.9789996,16.10192,0.0,0.0,0.0,0.0,11.4862,24.48,16.52,4.033475,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-06,25.629,8.279,17.251915,0.0,0.0,0.0,0.0,9.746631,21.24,16.57,3.7972052,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-07,26.279,8.029,18.56025,0.0,0.0,0.0,0.0,8.587338,15.84,16.73,3.60192,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-08,25.879,8.579,17.751917,0.0,0.0,0.0,0.0,12.074766,23.039999,16.73,3.7378309,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-09,22.928999,8.729,15.874832,0.0,0.0,0.0,0.0,9.387651,18.0,12.36,2.594455,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-10,25.379,11.729,18.451914,0.0,0.0,0.0,0.0,14.021525,23.4,16.59,4.088206,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-11,27.328999,11.029,19.439417,0.0,0.0,0.0,0.0,9.726664,18.72,16.97,3.8326778,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-12,21.979,13.679,18.289417,0.0,0.0,0.0,0.0,33.04361,60.120003,15.21,4.3582697,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-13,25.928999,8.729,16.370667,0.0,0.0,0.0,0.0,35.632725,57.6,14.44,4.393929,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-14,21.779,12.879001,17.212332,0.0,0.0,0.0,0.0,30.599998,50.399998,16.74,5.4641714,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-15,23.879,7.7289996,15.972749,0.0,0.0,0.0,0.0,9.779817,24.48,15.2,3.190157,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-16,24.479,12.879001,18.154,0.0,0.0,0.0,0.0,27.466372,45.36,16.85,5.163448,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-17,22.279,9.929,16.48525,0.0,0.0,0.0,0.0,20.478907,35.64,18.32,4.889652,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-18,20.328999,6.329,14.314415,0.0,0.0,0.0,0.0,18.0036,32.760002,18.98,4.740966,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-19,22.928999,9.429,15.633168,0.0,0.0,0.0,0.0,8.049845,15.84,18.7,3.7500463,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-20,28.428999,9.929,17.978998,0.0,0.0,0.0,0.0,29.964457,50.399998,19.22,5.367316,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-21,23.328999,8.329,16.658165,0.0,0.0,0.0,0.0,16.595179,32.760002,19.39,5.3286886,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-22,25.279,8.729,17.185247,0.0,0.0,0.0,0.0,10.739833,23.4,19.47,4.986297,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-23,28.078999,12.179,19.704,0.0,0.0,0.0,0.0,10.383987,18.0,19.62,4.551041,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-24,29.178999,11.429,20.397749,0.0,0.0,0.0,0.0,11.252519,21.96,19.58,4.9918423,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-25,20.379,10.629001,16.70608,0.0,0.0,0.0,0.0,19.770523,37.079998,20.36,5.529106,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-26,24.879,7.779,15.912332,0.0,0.0,0.0,0.0,9.83268,15.119999,20.76,4.394488,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-27,24.578999,6.429,16.751917,0.0,0.0,0.0,0.0,11.212135,23.759998,20.35,4.6517467,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
2021-02-28,19.629,9.679,14.785251,0.0,0.0,0.0,0.0,18.228943,33.839996,20.95,5.3816824,Baja California,Norte,32.6519,-115.4683,2025-11-23,historical
