date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,17.741,7.541,12.351417,0.5,0.5,0.0,0.0,23.47741,44.28,16.21,3.0218976,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-02,18.941,8.740999,13.086833,0.0,0.0,0.0,0.0,30.282827,53.639996,16.55,3.651868,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-03,22.640999,11.091,16.051414,0.0,0.0,0.0,0.0,24.162947,41.039997,16.86,5.9411116,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-04,24.241,12.141,17.4785,0.0,0.0,0.0,0.0,25.49908,42.839996,16.64,5.7753677,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-05,23.941,13.341,17.647251,0.0,0.0,0.0,0.0,22.682856,37.44,12.69,5.0629287,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-06,24.441,13.091,17.803501,0.0,0.0,0.0,0.0,35.770668,60.120003,16.92,6.5941,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-07,26.991,15.141,19.786833,0.0,0.0,0.0,0.0,32.058197,52.56,17.12,6.5701046,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-08,26.691,14.441,19.676418,0.0,0.0,0.0,0.0,21.470612,35.28,17.29,6.3413367,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-09,24.991,12.591,17.7285,0.0,0.0,0.0,0.0,19.652176,31.68,17.17,5.056973,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-10,20.890999,12.091,15.882665,0.0,0.0,0.0,0.0,27.345785,49.32,17.15,6.2335625,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-11,20.791,10.790999,14.763915,0.0,0.0,0.0,0.0,25.772078,43.92,17.31,5.508428,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-12,19.390999,10.240999,13.945167,0.0,0.0,0.0,0.0,33.481934,59.76,17.66,5.3630896,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-13,21.640999,10.740999,15.540997,0.0,0.0,0.0,0.0,34.20568,58.32,17.55,6.6807394,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-14,25.341,12.591,17.765999,0.0,0.0,0.0,0.0,28.883131,49.68,17.89,7.1835594,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-15,26.841,15.341,19.882668,0.0,0.0,0.0,0.0,32.042023,53.639996,17.67,7.296095,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-16,26.191,16.291,19.938915,0.0,0.0,0.0,0.0,23.667091,39.96,17.68,5.890726,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-17,27.041,13.040999,20.057665,0.0,0.0,0.0,0.0,15.226764,31.319998,17.67,4.775531,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-18,23.841,13.941,19.438915,0.0,0.0,0.0,0.0,19.008545,35.64,17.78,4.2895627,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-19,21.491,11.490999,15.495167,0.0,0.0,0.0,0.0,31.09575,55.8,13.72,2.942833,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-20,19.791,15.191,16.726418,13.099999,13.099999,0.0,0.0,32.908016,57.239998,6.62,1.3808254,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-21,18.841,11.591,15.886832,14.300001,14.300001,0.0,0.0,19.164717,34.92,10.08,1.5704156,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-22,17.341,9.391,13.043082,0.0,0.0,0.0,0.0,15.39184,27.72,17.72,2.5406823,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-23,16.140999,10.040999,12.6535,0.0,0.0,0.0,0.0,21.605999,38.519997,17.44,2.3499312,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-24,15.290999,9.141,11.699333,0.1,0.1,0.0,0.0,25.364037,46.44,15.03,2.175574,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-25,14.290999,7.191,10.566001,0.0,0.0,0.0,0.0,25.325686,45.36,14.89,2.1360881,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-26,15.290999,7.6410003,10.993083,0.0,0.0,0.0,0.0,21.868332,40.32,18.32,2.9717662,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-27,17.390999,7.991,11.807666,0.0,0.0,0.0,0.0,38.351406,66.96,15.54,3.5934277,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-28,21.741,9.141,14.941002,0.0,0.0,0.0,0.0,22.932877,36.719997,17.03,4.3727303,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-29,19.191,10.790999,13.993081,0.0,0.0,0.0,0.0,17.771753,34.56,14.01,2.3486445,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-30,23.191,10.591,14.995167,0.0,0.0,0.0,0.0,24.881702,42.48,18.92,3.8412807,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-01-31,22.441,11.040999,15.822249,0.0,0.0,0.0,0.0,32.379993,56.16,16.85,5.2180977,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-01,27.791,14.891,19.720167,0.0,0.0,0.0,0.0,29.162222,47.16,17.22,5.934962,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-02,25.091,13.141,19.045168,0.0,0.0,0.0,0.0,16.87398,27.72,12.29,4.1402555,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-03,26.691,15.740999,19.986835,0.0,0.0,0.0,0.0,20.275385,39.239998,17.26,4.5230923,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-04,28.991,17.091,22.818083,0.0,0.0,0.0,0.0,19.493261,38.16,18.39,5.1867495,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-05,24.041,14.141,18.620167,0.0,0.0,0.0,0.0,29.714724,52.56,20.11,6.648952,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-06,25.491,13.990999,18.557665,0.0,0.0,0.0,0.0,28.99062,50.039997,20.26,6.968428,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-07,24.791,11.790999,17.37433,0.0,0.0,0.0,0.0,20.730501,37.079998,20.33,5.3584256,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-08,23.491,11.240999,16.497252,0.0,0.0,0.0,0.0,19.008545,37.079998,20.4,4.286012,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-09,22.441,11.740999,15.880582,0.0,0.0,0.0,0.0,18.089775,36.0,20.38,3.7809486,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-10,16.890999,10.441,12.511832,0.0,0.0,0.0,0.0,23.863409,44.639996,17.04,2.591205,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-11,23.390999,8.091,15.118083,0.0,0.0,0.0,0.0,17.654688,34.56,20.47,4.156538,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-12,22.491,11.841,15.972248,0.0,0.0,0.0,0.0,28.460497,51.839996,20.34,4.4913173,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-13,21.390999,7.941,13.880581,0.0,0.0,0.0,0.0,22.668568,42.839996,20.62,3.611518,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-14,17.491,8.091,12.401418,0.0,0.0,0.0,0.0,26.478973,48.6,16.89,2.7639532,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-15,21.841,9.841,14.641,0.0,0.0,0.0,0.0,23.623243,43.199997,21.03,4.262478,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-16,17.241,8.790999,12.776417,0.0,0.0,0.0,0.0,30.676142,55.44,17.56,2.6314487,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-17,17.691,7.941,12.405582,0.0,0.0,0.0,0.0,20.523157,39.96,20.84,3.0974576,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-18,19.691,10.091,13.86808,0.0,0.0,0.0,0.0,36.115017,63.36,22.14,5.4117293,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-19,23.890999,10.990999,16.265999,0.0,0.0,0.0,0.0,38.023907,65.159996,22.44,7.5221877,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-20,26.191,10.790999,17.595167,0.0,0.0,0.0,0.0,22.539564,41.039997,22.43,5.835241,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-21,22.390999,11.441,16.457666,0.0,0.0,0.0,0.0,38.816612,68.76,20.15,5.926924,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-22,25.691,13.841,18.699335,0.0,0.0,0.0,0.0,33.043606,58.679996,21.38,8.098461,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-23,29.291,14.841,20.711834,0.0,0.0,0.0,0.0,21.370783,39.96,22.77,7.172629,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-24,28.091,14.990999,21.363914,0.0,0.0,0.0,0.0,19.242327,38.16,22.1,5.978416,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-25,30.841,15.091,21.422249,0.0,0.0,0.0,0.0,28.963785,51.839996,22.49,6.4495153,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-26,27.291,13.540999,19.557665,0.0,0.0,0.0,0.0,24.26998,41.039997,21.62,6.642122,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-27,23.140999,13.891,17.722248,0.0,0.0,0.0,0.0,17.884428,37.8,13.89,3.7415292,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
2021-02-28,23.291,11.290999,16.640997,0.0,0.0,0.0,0.0,36.918873,64.079994,22.08,5.933729,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,historical
