date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,30.2605,20.0105,23.927168,0.0,0.0,0.0,0.0,13.237038,37.44,12.18,2.8966773,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-02,28.5105,19.3105,22.956335,0.0,0.0,0.0,0.0,18.947083,55.8,16.76,3.6366491,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-03,27.0605,19.460499,21.99175,0.0,0.0,0.0,0.0,18.075441,52.92,16.63,3.4264286,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-04,28.8105,19.0605,22.723,0.0,0.0,0.0,0.0,16.299694,49.68,18.22,3.784565,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-05,29.7605,20.0105,23.377165,0.5,0.5,0.0,0.0,14.904173,45.36,16.22,3.409714,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-06,30.8605,19.1605,23.99383,0.90000004,0.90000004,0.0,0.0,8.4963045,29.519999,17.96,3.7720807,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-07,27.6105,19.7605,23.052162,1.0,1.0,0.0,0.0,17.58481,54.0,15.75,3.3979971,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-08,23.7605,17.8105,20.460499,0.5,0.5,0.0,0.0,19.107151,55.8,11.13,2.5051877,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-09,25.1605,16.6605,19.66883,0.0,0.0,0.0,0.0,16.58346,50.039997,16.65,3.2471442,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-10,29.8605,15.6105,21.000082,0.0,0.0,0.0,0.0,15.0038395,42.48,19.43,3.8899615,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-11,25.1105,17.7605,20.352165,0.0,0.0,0.0,0.0,23.770906,72.0,17.22,3.3382568,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-12,22.9105,15.9105,18.86883,0.0,0.0,0.0,0.0,22.539564,69.12,17.78,3.3263092,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-13,23.5105,17.1605,19.525084,0.0,0.0,0.0,0.0,20.945072,65.88,16.48,3.155625,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-14,27.1605,16.7605,20.962584,0.0,0.0,0.0,0.0,15.696165,45.719997,17.33,3.4111128,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-15,27.710499,17.2105,21.87925,0.0,0.0,0.0,0.0,18.11841,54.719997,18.35,3.7957225,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-16,28.7605,18.210499,22.039667,0.0,0.0,0.0,0.0,17.072504,50.76,16.05,3.7599618,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-17,31.1105,17.3105,22.073,0.0,0.0,0.0,0.0,17.786331,52.199997,19.35,4.120875,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-18,25.210499,18.0105,20.516748,0.0,0.0,0.0,0.0,16.981165,50.76,16.2,3.2187397,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-19,31.3605,17.1605,22.63133,0.0,0.0,0.0,0.0,19.296135,55.079998,19.72,4.197671,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-20,31.6605,18.8105,23.977163,0.0,0.0,0.0,0.0,18.35647,53.28,19.88,4.4010363,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-21,31.1605,18.8605,23.814669,0.0,0.0,0.0,0.0,16.79314,49.68,20.79,4.3719954,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-22,34.3105,20.0605,25.722998,0.0,0.0,0.0,0.0,12.413477,39.239998,20.7,4.632962,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-23,32.1605,21.3605,25.302168,0.1,0.1,0.0,0.0,15.484185,45.719997,20.14,4.4411607,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-24,33.9605,19.5605,25.847998,0.0,0.0,0.0,0.0,10.1887,34.56,21.02,4.6575212,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
2021-01-25,34.3105,20.210499,25.954248,0.0,0.0,0.0,0.0,15.158522,46.44,21.52,5.084269,Chiapas,Sur,16.7569,-93.1292,2025-11-23,historical
