date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,7.217,-5.033,1.3274167,0.2,0.1,0.0,0.07,12.738099,24.48,12.85,1.6706152,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-02,10.266999,-2.7329998,2.717,0.0,0.0,0.0,0.0,12.031756,20.519999,15.53,2.147858,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-03,16.067,-1.483,5.9003334,0.0,0.0,0.0,0.0,13.237038,21.96,15.89,2.7054868,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-04,16.417,2.5170002,9.214916,0.0,0.0,0.0,0.0,12.074766,21.96,15.54,2.7037368,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-05,20.567001,2.017,10.633666,0.0,0.0,0.0,0.0,16.135872,27.0,14.53,2.9406013,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-06,15.016999,4.717,9.7045,0.0,0.0,0.0,0.0,19.443333,36.36,16.16,2.9335155,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-07,21.917,0.967,10.146167,0.0,0.0,0.0,0.0,18.374111,33.48,16.41,3.545654,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-08,21.617,2.8170002,11.8169985,0.0,0.0,0.0,0.0,13.684735,24.84,16.28,3.149647,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-09,20.417,2.5670002,11.294083,0.0,0.0,0.0,0.0,23.83896,41.760002,16.13,3.8694508,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-10,9.417,0.567,5.0794997,0.0,0.0,0.0,0.0,20.808498,38.16,16.24,2.5668702,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-11,7.367,-1.883,2.4003332,0.0,0.0,0.0,0.0,16.1198,30.599998,13.88,1.7830167,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-12,9.617,-0.633,3.8170002,0.0,0.0,0.0,0.0,11.384198,23.039999,16.14,2.129566,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-13,17.517,-2.033,6.702417,0.0,0.0,0.0,0.0,15.192682,27.0,17.06,2.915608,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-14,20.517,1.567,9.952416,0.0,0.0,0.0,0.0,16.65754,31.319998,16.59,3.5087938,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-15,17.717001,4.017,10.804501,0.0,0.0,0.0,0.0,13.708391,27.359999,16.66,3.369936,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-16,24.967001,2.8170002,13.110749,0.0,0.0,0.0,0.0,23.188583,39.96,16.87,4.374169,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-17,20.117,5.367,12.369082,0.0,0.0,0.0,0.0,17.373497,28.44,17.03,3.7445164,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-18,24.667,4.717,14.2795,0.0,0.0,0.0,0.0,21.67487,38.88,16.97,4.7978935,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-19,14.717,8.617,12.110748,9.599999,9.599999,0.0,0.0,24.014996,40.32,9.77,3.101995,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-20,16.717001,5.617,9.985749,5.5,5.5,0.0,0.0,14.512064,27.72,10.77,1.8088206,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-21,20.567001,10.167,13.137833,5.9999995,5.9999995,0.0,0.0,18.089775,31.319998,7.73,1.5652521,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-22,19.767,5.867,12.012834,0.0,0.0,0.0,0.0,13.324863,26.28,17.06,2.8603616,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-23,21.617,4.567,11.854501,0.0,0.0,0.0,0.0,23.277834,38.88,16.77,3.707673,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-24,21.217001,5.817,11.891999,0.0,0.0,0.0,0.0,44.339962,74.520004,17.22,4.466321,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-25,17.117,4.4170003,10.408667,0.0,0.0,0.0,0.0,31.826931,54.719997,17.79,4.6163454,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-26,17.267,4.6670003,9.7295,0.0,0.0,0.0,0.0,36.247547,62.279995,18.36,4.7279253,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-27,11.266999,0.667,5.4649167,0.0,0.0,0.0,0.0,12.7279215,26.28,17.09,2.3394976,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
2021-01-28,18.817001,2.417,10.662833,0.0,0.0,0.0,0.0,14.8257065,29.519999,17.31,3.2430015,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,historical
