date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,24.374,1.124,12.038583,0.0,0.0,0.0,0.0,22.027763,40.68,20.75,4.6312933,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-02,24.024,3.624,12.759418,0.0,0.0,0.0,0.0,22.288042,38.88,20.43,4.347577,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-03,24.274,2.974,13.453167,0.0,0.0,0.0,0.0,23.993399,40.32,20.2,3.9936237,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-04,22.974,6.574,14.859417,0.0,0.0,0.0,0.0,20.056877,29.519999,20.28,4.0879297,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-05,22.624,6.874,14.278168,0.0,0.0,0.0,0.0,19.969458,32.039997,19.33,3.9122324,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-06,22.124,5.824,14.451083,0.1,0.1,0.0,0.0,24.850431,41.399998,19.72,3.9478462,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-07,19.524,9.774,13.953166,0.2,0.2,0.0,0.0,16.58346,26.28,14.86,2.9295874,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-08,21.374,6.724,14.165666,0.0,0.0,0.0,0.0,13.746156,21.599998,18.66,3.6026697,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-09,19.774,7.524,13.857333,2.5,2.5,0.0,0.0,15.137133,27.359999,17.43,3.325335,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-10,21.674002,6.624,13.521915,0.0,0.0,0.0,0.0,13.276144,20.880001,17.65,3.3369207,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-11,18.424002,7.574,12.328167,0.1,0.1,0.0,0.0,19.995398,37.8,14.82,2.9525902,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-12,21.424002,7.174,13.849,0.0,0.0,0.0,0.0,19.959719,34.2,18.61,3.7357414,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-13,19.774,6.374,13.324,0.0,0.0,0.0,0.0,16.575644,30.599998,13.78,3.0278032,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-14,22.524,8.724,15.032334,0.2,0.2,0.0,0.0,13.039754,25.919998,16.06,3.3148315,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-15,20.874,11.324,15.719832,0.70000005,0.70000005,0.0,0.0,14.81259,30.599998,15.78,3.3159163,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-16,20.824001,8.274,14.363583,2.4,2.4,0.0,0.0,19.995398,32.399998,15.12,3.1137478,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-17,20.824001,10.624,14.463585,1.9000001,1.9000001,0.0,0.0,16.454008,31.319998,13.05,2.7434657,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-18,21.224,7.024,13.740666,0.0,0.0,0.0,0.0,18.1041,32.399998,19.49,3.7283397,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-19,23.724,7.374,15.221916,0.0,0.0,0.0,0.0,21.203358,34.56,19.76,4.063685,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-20,21.874,8.474,15.178165,0.0,0.0,0.0,0.0,15.575981,30.960001,17.46,3.5082319,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-21,25.224,8.874,16.140667,0.0,0.0,0.0,0.0,16.375053,27.72,20.58,4.1044583,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-22,25.224,10.674,17.311499,0.0,0.0,0.0,0.0,23.000591,38.88,20.75,4.400383,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-23,24.474,10.924,17.19275,0.0,0.0,0.0,0.0,15.273505,24.48,18.71,3.9176655,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-24,24.124,9.524,16.346916,0.0,0.0,0.0,0.0,22.91026,39.6,16.37,4.051558,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-25,25.074001,6.224,15.653167,0.0,0.0,0.0,0.0,15.484185,31.68,21.2,4.4179616,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-26,26.874,8.424,16.986498,0.0,0.0,0.0,0.0,20.674156,37.44,21.26,4.6377354,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-27,26.424002,11.624,17.153166,0.1,0.1,0.0,0.0,32.91983,52.199997,20.98,4.8812923,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-28,23.224,9.874,14.574001,0.0,0.0,0.0,0.0,32.138947,49.32,18.3,4.280327,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-29,24.124,7.474,14.488583,0.0,0.0,0.0,0.0,20.380579,35.64,20.46,4.208857,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-30,25.674002,8.824,16.907331,0.0,0.0,0.0,0.0,7.386582,20.519999,21.09,4.008033,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
2021-01-31,25.624,8.074,16.501085,0.0,0.0,0.0,0.0,27.757378,44.28,22.52,5.3126445,Ciudad de Mexico,Centro,19.4326,-99.1332,2025-11-23,historical
