date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,11.818,2.868,7.6846676,0.0,0.0,0.0,0.0,15.072783,37.44,15.41,2.2581508,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-02,16.368,1.7179999,9.078416,0.0,0.0,0.0,0.0,20.68356,45.719997,15.8,2.7726617,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-03,20.218,4.7679996,11.940917,0.0,0.0,0.0,0.0,26.121714,57.6,15.98,3.4498315,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-04,22.668001,7.468,15.347165,0.0,0.0,0.0,0.0,16.267857,37.079998,15.9,3.6512403,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-05,19.818,10.768,15.857583,0.0,0.0,0.0,0.0,8.049845,20.880001,15.47,2.7428572,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-06,22.318,9.368,14.880498,0.0,0.0,0.0,0.0,16.78156,37.44,14.73,3.3299038,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-07,19.468,5.4179997,13.036748,0.0,0.0,0.0,0.0,11.013882,21.24,16.29,3.2318997,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-08,14.418,6.718,10.705498,0.0,0.0,0.0,0.0,10.514218,27.359999,16.31,2.8155932,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-09,9.717999,4.718,7.126333,0.2,0.2,0.0,0.0,13.237039,29.16,8.64,1.3410072,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-10,11.168,4.4179997,7.2263336,0.9000001,0.9000001,0.0,0.0,15.683774,36.36,8.92,1.3674456,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-11,6.2679996,2.2680001,3.59925,0.0,0.0,0.0,0.0,13.32,30.960001,8.55,1.2812258,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-12,9.168,1.418,4.8263335,0.0,0.0,0.0,0.0,8.557102,22.319998,14.4,1.828107,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-13,19.418001,2.068,10.268,0.0,0.0,0.0,0.0,28.357855,61.199997,16.82,3.6501899,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-14,24.618,10.918,15.72425,0.0,0.0,0.0,0.0,33.672993,73.799995,17.02,5.286815,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-15,14.118,7.9679995,10.840915,0.0,0.0,0.0,0.0,11.966954,30.599998,16.68,3.0092742,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-16,20.818,1.9179999,11.818,0.0,0.0,0.0,0.0,11.304229,25.56,17.1,3.488586,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-17,19.268002,7.1679997,14.070084,0.0,0.0,0.0,0.0,9.360001,24.84,17.0,3.2284944,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-18,26.118,6.2679996,17.176336,0.0,0.0,0.0,0.0,12.984975,33.12,17.27,3.8843389,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-19,19.418001,11.118,15.372165,1.9000001,1.9000001,0.0,0.0,16.75064,37.44,11.1,2.3648648,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-20,14.818,8.618,11.4305,4.0000005,4.0000005,0.0,0.0,9.904906,23.039999,9.67,1.5064371,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-21,20.568,9.618,14.118001,0.0,0.0,0.0,0.0,12.0694,27.72,15.22,2.5285294,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-22,25.668001,9.868,16.757582,0.0,0.0,0.0,0.0,14.658676,31.319998,16.08,3.0344143,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-23,22.868,13.768,17.861748,0.0,0.0,0.0,0.0,10.041354,25.56,16.44,2.9718215,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-24,27.468,13.368,19.207582,0.0,0.0,0.0,0.0,12.979984,31.319998,16.57,3.2892904,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-25,23.418001,14.967999,18.501331,0.0,0.0,0.0,0.0,16.343367,36.719997,17.32,4.1414466,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-26,27.068,9.568,17.620085,0.0,0.0,0.0,0.0,10.883676,26.64,17.92,4.1013675,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-27,20.618,6.6679997,12.382584,0.0,0.0,0.0,0.0,13.684735,55.8,17.41,3.6581004,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-28,16.168001,6.468,10.990917,0.0,0.0,0.0,0.0,13.207634,30.239998,17.04,3.3428757,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-29,20.068,7.7679996,13.105499,0.0,0.0,0.0,0.0,8.891343,20.880001,17.4,3.1586723,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-30,31.868,11.068,19.90342,0.0,0.0,0.0,0.0,21.261345,48.6,17.97,4.5327473,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-01-31,22.068,12.768,17.309668,0.0,0.0,0.0,0.0,17.208603,38.88,18.19,4.1159253,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-01,17.068,8.668,12.576333,0.0,0.0,0.0,0.0,11.183201,28.08,17.99,3.6155689,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-02,20.568,9.717999,14.997167,0.0,0.0,0.0,0.0,9.793059,24.119999,17.29,3.4577384,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-03,27.518002,10.717999,18.915918,0.0,0.0,0.0,0.0,10.829959,25.919998,18.65,4.4315147,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-04,32.918,14.118,22.36592,0.0,0.0,0.0,0.0,23.090569,51.48,18.75,6.066355,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-05,26.918001,11.618,18.742998,0.0,0.0,0.0,0.0,10.805999,27.0,18.91,4.112176,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-06,23.918001,9.668,17.228418,0.0,0.0,0.0,0.0,18.079027,42.839996,19.27,4.063236,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-07,22.718,12.217999,17.286749,0.0,0.0,0.0,0.0,9.422101,21.599998,18.11,3.8117514,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-08,29.068,12.268,20.74925,0.0,0.0,0.0,0.0,16.676977,37.44,18.63,4.645981,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-09,27.668001,11.018,20.351336,0.0,0.0,0.0,0.0,12.313894,29.16,19.46,4.260802,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-10,25.968,14.668,20.209667,0.0,0.0,0.0,0.0,12.181624,29.16,19.0,3.823082,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-11,17.868,5.568,11.642999,4.899999,4.899999,0.0,0.0,14.021525,32.039997,6.84,1.1294744,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-12,8.068,5.2679996,6.2575836,0.8000001,0.8000001,0.0,0.0,10.948973,26.28,7.37,1.049548,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-13,5.218,1.4679999,3.1242502,1.7000002,1.7000002,0.0,0.0,12.984975,29.519999,5.41,0.69359934,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-14,1.518,-4.4820004,-0.119499974,1.8000002,0.19999999,0.0,1.12,20.65848,48.6,5.9,0.7204484,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-15,-1.082,-9.482,-5.692417,0.6,0.1,0.0,0.35,11.609651,25.199999,13.87,1.1295804,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-16,6.9179997,-5.882,-0.5965836,0.0,0.0,0.0,0.0,11.525623,26.28,20.1,2.0705185,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-17,15.568,-1.982,6.097166,0.0,0.0,0.0,0.0,13.044722,29.88,19.8,2.9545915,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-18,5.568,-1.5320001,2.9971669,0.70000005,0.70000005,0.0,0.0,15.021105,36.719997,7.13,0.92574847,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-19,9.768,-4.282,2.4054997,0.0,0.0,0.0,0.0,8.28,24.84,21.28,2.5321188,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-20,15.768,1.518,9.157583,0.0,0.0,0.0,0.0,10.182337,26.28,21.24,3.1921024,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-21,27.368,7.468,15.799249,0.0,0.0,0.0,0.0,16.87398,39.6,21.29,4.381984,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-22,20.418001,11.967999,16.261747,0.0,0.0,0.0,0.0,10.009036,27.0,21.03,3.6714911,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-23,25.368,9.868,18.980497,0.0,0.0,0.0,0.0,10.239453,25.919998,20.55,4.0159593,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-24,30.768002,13.168,21.684664,0.0,0.0,0.0,0.0,14.118243,32.399998,20.89,4.852051,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-25,27.618,16.268002,21.482584,0.0,0.0,0.0,0.0,14.565548,32.760002,20.2,4.086487,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-26,22.268002,14.217999,17.324251,0.3,0.3,0.0,0.0,8.28,23.4,15.27,2.7659452,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-27,28.668001,12.618,20.126333,0.0,0.0,0.0,0.0,12.758432,28.08,19.01,4.157948,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-02-28,30.018002,16.268002,22.97425,0.0,0.0,0.0,0.0,17.58481,39.6,18.01,4.360919,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-01,19.268002,10.868,16.340916,0.2,0.2,0.0,0.0,21.313093,48.239998,11.96,2.7694764,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-02,16.718,6.6679997,11.595082,0.0,0.0,0.0,0.0,13.779114,33.12,21.71,3.7274256,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-03,22.018002,9.717999,15.720082,0.0,0.0,0.0,0.0,8.654987,24.48,20.78,4.1065645,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-04,28.218,13.717999,20.361748,0.0,0.0,0.0,0.0,8.654986,24.84,21.63,4.615499,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-05,25.518002,13.668,19.488834,0.0,0.0,0.0,0.0,12.0694,37.8,22.12,4.938427,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-06,19.318,8.717999,14.445084,0.0,0.0,0.0,0.0,15.408671,37.8,22.64,4.4417315,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-07,18.868,9.568,13.282582,0.0,0.0,0.0,0.0,11.525623,29.16,15.18,2.86055,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-08,22.618,10.118,15.705502,0.0,0.0,0.0,0.0,16.42247,39.96,21.05,3.8258133,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-09,24.668001,13.518,18.363834,0.0,0.0,0.0,0.0,10.948973,26.28,18.32,3.5448515,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-10,30.768002,15.168,22.209665,0.0,0.0,0.0,0.0,13.479583,29.16,21.23,4.8707314,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-11,28.818,15.918,22.395082,0.0,0.0,0.0,0.0,12.24,29.519999,22.04,4.864147,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-12,29.068,16.468,22.278418,0.0,0.0,0.0,0.0,12.783802,31.68,20.81,4.5523586,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-13,32.218002,18.218,24.07425,0.0,0.0,0.0,0.0,14.332341,29.519999,21.8,5.065052,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-14,23.518002,13.818,18.57633,0.0,0.0,0.0,0.0,17.87718,43.92,21.66,4.6230307,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-15,28.618,11.518,20.799252,0.0,0.0,0.0,0.0,12.7279215,29.16,24.45,5.5879545,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-16,33.868,14.217999,25.497168,0.0,0.0,0.0,0.0,17.595861,41.760002,24.91,6.656141,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-17,29.468,16.368,23.055496,0.0,0.0,0.0,0.0,14.021525,36.719997,25.62,6.7370853,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
2021-03-18,21.468,11.967999,15.945084,0.0,0.0,0.0,0.0,14.480773,34.92,25.03,5.3598356,Coahuila,Norte,27.0587,-101.7068,2025-11-23,historical
