date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,16.274,0.374,7.499,0.0,0.0,0.0,0.0,42.021423,77.76,18.76,4.074295,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-02,14.374,-1.8759999,5.803167,0.0,0.0,0.0,0.0,15.5843,28.08,18.6,2.8882782,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-03,18.724,1.1240001,8.419831,0.0,0.0,0.0,0.0,18.331741,32.039997,17.74,3.7394173,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-04,21.324001,-0.626,10.694835,0.0,0.0,0.0,0.0,19.011953,33.839996,18.95,4.1215763,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-05,23.124,0.974,11.594833,0.0,0.0,0.0,0.0,19.602652,36.719997,18.56,4.3966517,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-06,19.124,5.624,12.409417,0.0,0.0,0.0,0.0,15.03835,28.44,15.43,3.9030452,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-07,18.474,5.474,11.351083,0.0,0.0,0.0,0.0,16.73516,28.44,16.76,3.253707,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-08,21.324001,2.224,11.613585,0.0,0.0,0.0,0.0,20.08916,37.079998,18.01,4.0390625,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-09,19.174,4.974,11.157333,0.0,0.0,0.0,0.0,30.312769,57.239998,17.16,3.658118,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-10,21.674,4.424,11.876083,0.0,0.0,0.0,0.0,20.774214,37.8,19.01,4.2575054,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-11,20.174,1.674,8.794833,0.0,0.0,0.0,0.0,26.31942,52.199997,18.96,3.5830534,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-12,18.674,1.574,7.90525,0.0,0.0,0.0,0.0,20.240196,36.36,19.32,3.4930058,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-13,16.474,0.074,7.896917,0.0,0.0,0.0,0.0,10.931203,22.68,19.26,3.2084217,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-14,21.274,-2.4759998,9.607333,0.0,0.0,0.0,0.0,17.208603,33.12,19.78,4.217277,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-15,19.774,2.7740002,10.946918,0.0,0.0,0.0,0.0,15.39184,25.199999,19.73,4.217202,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-16,22.174,2.7740002,12.134416,0.0,0.0,0.0,0.0,25.72174,47.519997,18.9,4.303138,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-17,20.074001,4.024,12.35525,0.0,0.0,0.0,0.0,19.137648,35.28,19.53,4.048379,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
2021-01-18,23.424,1.574,12.746917,0.0,0.0,0.0,0.0,25.772078,48.6,19.63,4.829799,Durango,Norte,24.0277,-104.6532,2025-11-23,historical
