date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,21.4875,1.8375,9.304167,0.0,0.0,0.0,0.0,13.608762,31.68,21.12,3.9053664,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-02,20.9375,2.0375001,10.416669,0.0,0.0,0.0,0.0,10.44,30.960001,20.82,3.8464286,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-03,21.4375,3.6375,11.387501,0.0,0.0,0.0,0.0,14.404499,31.68,20.67,3.9515698,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-04,20.1875,1.6875,11.470834,0.0,0.0,0.0,0.0,11.119281,31.319998,20.89,3.916343,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-05,19.1875,3.0375001,11.541668,0.0,0.0,0.0,0.0,9.0,28.8,19.74,3.4405472,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-06,18.637499,2.7375002,10.299999,0.0,0.0,0.0,0.0,20.5484,45.36,19.75,3.7486086,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-07,18.5875,4.5375,10.327083,0.0,0.0,0.0,0.0,10.44,30.239998,16.08,2.8803067,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-08,19.4375,4.1375003,10.7,0.4,0.4,0.0,0.0,13.202726,31.319998,19.07,3.345541,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-09,17.387499,3.6375,10.241666,0.0,0.0,0.0,0.0,19.0392,36.0,16.83,3.1364284,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-10,16.137499,5.2875,10.452084,0.6,0.6,0.0,0.0,23.444265,48.96,15.9,2.9454749,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-11,17.1875,4.6875,10.181249,0.0,0.0,0.0,0.0,13.551501,32.399998,17.51,3.114009,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-12,17.9875,2.5375001,9.48125,1.0,1.0,0.0,0.0,16.595179,37.44,19.35,3.3756268,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-13,18.2375,3.4375,10.127083,0.0,0.0,0.0,0.0,8.287822,23.4,15.46,2.8092303,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-14,18.9375,4.5375,11.235416,0.4,0.4,0.0,0.0,19.08,40.32,15.51,2.9855056,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-15,18.7875,6.6375003,12.424999,0.6,0.6,0.0,0.0,9.793058,29.519999,17.32,3.1232686,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-16,18.137499,5.2875,11.304166,0.4,0.4,0.0,0.0,12.661564,28.08,16.46,3.0254366,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-17,17.4875,6.6375003,11.233333,2.3999999,2.3999999,0.0,0.0,19.652176,42.839996,15.76,2.8624554,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-18,18.7375,4.1375003,10.806251,0.0,0.0,0.0,0.0,13.70839,30.960001,19.18,3.3050153,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-19,20.4375,7.0375,12.512501,0.5,0.5,0.0,0.0,15.349684,37.079998,19.18,3.5287678,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-20,19.2875,7.3875003,12.5625,0.0,0.0,0.0,0.0,23.507751,47.88,18.45,3.5115073,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-21,21.6875,5.5375,12.487499,0.1,0.1,0.0,0.0,11.609651,28.8,20.77,3.7754912,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-22,22.5875,5.7375,13.137501,0.0,0.0,0.0,0.0,13.276144,28.44,20.77,3.868481,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-23,22.2375,7.9375005,13.510417,0.0,0.0,0.0,0.0,8.287822,26.28,18.93,3.558889,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-24,22.1875,7.7375,13.562499,0.0,0.0,0.0,0.0,9.0,28.8,19.0,3.6119738,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-25,21.5375,4.4875,11.795835,0.0,0.0,0.0,0.0,17.283749,37.8,21.83,4.155877,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-26,23.6875,4.2875,12.841667,0.0,0.0,0.0,0.0,9.826088,25.199999,21.92,4.142169,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-27,23.3375,9.237499,14.793748,0.5,0.5,0.0,0.0,19.09358,42.12,20.58,4.1207337,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-28,20.6875,7.0875,12.924999,0.0,0.0,0.0,0.0,23.675304,47.16,20.06,4.0358934,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-29,21.4375,6.1375003,12.525001,0.0,0.0,0.0,0.0,12.7279215,34.2,21.28,3.7889998,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-30,22.2875,5.0875,13.522916,0.0,0.0,0.0,0.0,15.408671,33.12,22.02,4.2701354,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-01-31,22.9875,6.1875,13.799999,0.0,0.0,0.0,0.0,18.723461,41.039997,22.91,4.4660244,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-02-01,19.2375,5.8375,12.000001,0.1,0.1,0.0,0.0,12.682018,32.039997,20.56,3.6302447,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-02-02,23.0875,5.4375,12.958333,0.0,0.0,0.0,0.0,20.892412,43.199997,23.31,4.7034917,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-02-03,24.2375,4.6375003,14.095834,0.0,0.0,0.0,0.0,13.276144,31.319998,23.75,4.66609,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-02-04,23.8375,4.6375003,13.952083,0.0,0.0,0.0,0.0,20.721119,47.88,23.65,4.658937,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
2021-02-05,24.5375,6.4375,14.279166,0.0,0.0,0.0,0.0,20.380579,41.760002,23.46,4.7959623,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,historical
