date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,21.4765,4.9765,11.616085,0.0,0.0,0.0,0.0,22.828087,48.239998,19.67,4.092102,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-02,20.9765,4.1265,12.845249,0.0,0.0,0.0,0.0,9.449572,24.84,19.98,4.0166783,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-03,21.8765,6.1765003,14.445249,0.0,0.0,0.0,0.0,15.986595,38.16,19.67,4.384048,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-04,21.676498,6.1765003,13.699417,0.0,0.0,0.0,0.0,19.174856,38.16,19.83,4.462201,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-05,21.926498,6.2265,14.503583,0.0,0.0,0.0,0.0,19.107151,40.32,19.49,4.2552924,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-06,22.026499,7.9265003,14.986918,0.0,0.0,0.0,0.0,18.057508,37.8,18.93,4.125448,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-07,20.276499,8.2765,14.136917,0.0,0.0,0.0,0.0,15.815435,31.68,16.23,3.2981205,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-08,20.426498,9.5265,14.5015,0.0,0.0,0.0,0.0,16.641972,33.12,15.33,3.1212628,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-09,19.276499,8.8265,13.497334,8.3,8.3,0.0,0.0,17.884428,44.28,15.55,2.9847093,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
2021-01-10,19.176498,8.9265,12.626499,4.7,4.7,0.0,0.0,16.516901,45.0,16.78,3.1251838,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,historical
