date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,17.188501,5.7385,11.646832,0.0,0.0,0.0,0.0,11.159999,48.96,20.88,3.4449954,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-02,19.4885,8.138499,13.426002,0.0,0.0,0.0,0.0,12.245294,53.639996,20.7,3.6859605,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-03,19.2885,8.9885,14.155167,1.7,1.7,0.0,0.0,9.779817,42.12,18.48,3.106423,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-04,19.9885,11.2885,15.357251,0.6,0.6,0.0,0.0,7.342588,25.919998,18.39,3.203838,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-05,19.438501,11.3385,14.542666,0.3,0.3,0.0,0.0,8.759178,34.56,16.06,2.8583682,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-06,17.2885,10.438499,12.946834,13.0,13.0,0.0,0.0,9.360001,44.28,15.18,2.453896,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-07,17.588501,10.938499,13.36975,1.6000001,1.6000001,0.0,0.0,9.9571085,41.399998,14.99,2.486082,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-08,16.938501,10.138499,13.053084,3.3000002,3.3000002,0.0,0.0,8.654986,37.8,14.71,2.4611247,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-09,16.438501,8.5885,11.846833,9.6,9.6,0.0,0.0,10.739833,48.96,14.82,2.35032,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-10,16.188501,7.6885,11.859334,2.9,2.9,0.0,0.0,9.793058,48.6,16.33,2.5652833,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-11,16.3885,9.2885,12.334334,1.4000001,1.4000001,0.0,0.0,10.105681,43.199997,15.18,2.455424,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-12,19.0385,10.138499,13.8343315,0.0,0.0,0.0,0.0,11.885453,49.68,18.83,3.2648602,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-13,19.588501,10.888499,15.321834,0.0,0.0,0.0,0.0,5.0911684,23.4,18.9,3.2554457,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-14,18.7885,9.138499,13.882248,0.5,0.5,0.0,0.0,5.0911684,34.2,15.89,2.8165872,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-15,19.2885,11.2385,14.305168,1.0,1.0,0.0,0.0,9.746631,39.239998,16.79,2.8500078,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-16,16.7385,9.7885,12.792667,1.6,1.6,0.0,0.0,7.771331,34.2,11.22,1.9149278,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-17,18.188501,9.9885,13.101001,0.0,0.0,0.0,0.0,8.049845,36.0,17.0,2.836891,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-18,18.0385,10.2385,13.436417,2.8000002,2.8000002,0.0,0.0,7.342588,32.760002,16.51,2.777324,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-19,19.7385,9.7385,13.798917,0.5,0.5,0.0,0.0,11.609651,50.76,17.62,3.0672643,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-20,19.7885,11.138499,14.586414,2.3,2.3,0.0,0.0,7.42159,45.719997,19.84,3.3964593,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-21,21.588501,11.188499,15.178082,0.1,0.1,0.0,0.0,7.69592,43.92,21.12,3.750742,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-22,20.9885,10.638499,15.375999,0.70000005,0.70000005,0.0,0.0,9.0645685,35.28,20.04,3.5445802,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-23,20.588501,9.9885,14.746831,2.2,2.2,0.0,0.0,9.114471,43.92,18.27,3.1761987,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-24,17.6385,9.388499,13.3385,1.8000001,1.8000001,0.0,0.0,10.8955765,43.56,13.0,2.2028434,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-25,18.7885,8.5885,13.09475,0.0,0.0,0.0,0.0,12.6462,52.56,20.87,3.4859567,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-26,19.838501,9.2885,13.686418,0.0,0.0,0.0,0.0,12.287555,51.12,21.55,3.5966506,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-27,21.6385,9.938499,14.178082,0.0,0.0,0.0,0.0,11.542478,47.88,20.91,3.6119084,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-28,21.188501,10.9885,15.263499,0.0,0.0,0.0,0.0,16.263872,96.12,20.66,3.88032,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-29,21.3885,8.9885,14.592668,0.0,0.0,0.0,0.0,10.594036,61.199997,22.11,4.0368586,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-30,21.5385,10.188499,14.655167,0.0,0.0,0.0,0.0,9.028754,57.96,21.51,3.8318033,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-01-31,22.2385,10.688499,15.075997,0.0,0.0,0.0,0.0,7.9932976,32.399998,21.22,3.7607284,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-01,21.438501,11.7385,15.290585,0.0,0.0,0.0,0.0,15.496736,98.64,22.44,4.1123676,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-02,20.7885,7.8884997,13.690582,0.0,0.0,0.0,0.0,9.422101,57.239998,22.79,4.012246,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-03,20.5385,10.7885,14.786419,0.1,0.1,0.0,0.0,11.901798,49.68,22.09,3.7368283,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-04,21.7885,10.7385,15.363499,0.1,0.1,0.0,0.0,9.3669195,36.36,22.19,3.9131496,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-05,20.7885,12.0385,15.013499,0.5,0.5,0.0,0.0,11.570515,54.0,21.03,3.5919812,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-06,18.7385,10.638499,14.0947485,1.3000001,1.3000001,0.0,0.0,8.64,38.88,18.91,3.1381793,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-07,19.088501,10.0385,14.617667,0.0,0.0,0.0,0.0,11.879999,50.76,22.93,3.840566,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-08,20.4885,9.2385,13.696834,0.0,0.0,0.0,0.0,13.397612,56.88,23.22,3.9923956,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
2021-02-09,19.438501,9.138499,13.611417,0.0,0.0,0.0,0.0,12.620554,53.639996,22.89,3.8383534,Guerrero,Sur,17.4392,-99.5451,2025-11-23,historical
