date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,22.443499,1.4435,10.914333,0.0,0.0,0.0,0.0,23.990698,47.88,20.63,4.466141,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-02,22.193499,2.3435001,11.312249,0.0,0.0,0.0,0.0,11.792404,30.239998,20.37,3.9642386,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-03,22.8435,3.0435002,11.597668,0.0,0.0,0.0,0.0,18.228943,37.8,20.26,4.0525894,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-04,20.7435,7.2935,13.168502,0.0,0.0,0.0,0.0,17.906157,39.6,20.24,3.9957123,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-05,20.443499,5.8935,12.155999,0.0,0.0,0.0,0.0,19.592731,43.92,20.0,3.7388396,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-06,21.043499,4.9435,12.876834,0.0,0.0,0.0,0.0,17.057314,36.719997,19.79,3.9698286,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-07,17.543499,7.1935,11.635166,0.0,0.0,0.0,0.0,13.276144,32.760002,15.75,2.8441496,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-08,18.3935,8.3435,12.214334,0.4,0.4,0.0,0.0,18.1041,40.68,16.87,3.060646,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-09,18.3435,5.6435,11.339333,2.6,2.6,0.0,0.0,13.138765,33.12,16.48,2.9080532,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-10,19.793499,6.5435,11.989334,0.70000005,0.70000005,0.0,0.0,19.083395,42.48,16.12,3.1501858,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-11,17.5935,5.8434997,10.772666,3.0,3.0,0.0,0.0,20.991426,49.32,14.52,2.6627624,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-12,19.543499,3.3935,10.262249,0.2,0.2,0.0,0.0,19.386593,42.12,18.72,3.2268987,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-13,18.6435,4.6935,11.060166,0.0,0.0,0.0,0.0,19.164717,39.239998,17.95,3.1918843,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-14,19.943499,5.5934997,12.570582,0.2,0.2,0.0,0.0,18.86139,39.239998,14.83,3.2564535,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-15,20.1435,6.8434997,12.464334,0.0,0.0,0.0,0.0,21.986542,44.639996,17.38,3.2172508,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
2021-01-16,21.443499,5.8935,12.381,1.2,1.2,0.0,0.0,16.75064,38.88,16.93,3.3290272,Hidalgo,Centro,20.091,-98.7624,2025-11-23,historical
