date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,24.1805,6.3305,13.863834,0.0,0.0,0.0,0.0,21.829777,39.239998,19.33,4.272327,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-02,23.780499,6.9305,14.740916,0.0,0.0,0.0,0.0,7.2805495,16.919998,19.61,3.5547903,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-03,24.630499,9.580501,16.005499,0.0,0.0,0.0,0.0,9.793059,17.64,19.04,3.8610437,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-04,24.6805,9.9805,16.667997,0.0,0.0,0.0,0.0,9.793059,19.08,19.35,3.8304877,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-05,25.1805,10.080501,17.182583,0.0,0.0,0.0,0.0,18.345877,30.960001,19.17,4.112926,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-06,24.630499,10.4805,17.415918,0.0,0.0,0.0,0.0,18.11841,36.719997,18.62,4.148968,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-07,23.4305,10.2305,17.138832,0.0,0.0,0.0,0.0,10.883676,25.919998,17.22,3.643614,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-08,24.780499,12.4305,18.215914,0.0,0.0,0.0,0.0,12.7279215,28.8,17.74,3.7222092,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-09,22.3305,11.8805,16.58675,0.4,0.4,0.0,0.0,22.35481,42.48,14.51,3.2781706,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-10,23.530499,10.7805,16.540918,0.1,0.1,0.0,0.0,15.986595,31.68,19.16,4.048691,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-11,24.630499,10.580501,16.422167,0.0,0.0,0.0,0.0,15.937878,32.760002,19.74,4.348768,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-12,24.0805,9.330501,16.1555,0.0,0.0,0.0,0.0,15.596767,29.88,19.67,4.3004684,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-13,22.630499,9.2805,16.007582,0.0,0.0,0.0,0.0,8.4042845,23.039999,17.26,3.272654,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-14,23.0805,13.7805,17.46383,0.7,0.7,0.0,0.0,6.792466,16.56,10.88,2.3318703,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-15,24.8305,8.5305,17.326332,0.0,0.0,0.0,0.0,13.138765,21.24,18.98,3.8492103,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-16,25.7305,12.2305,18.47425,0.0,0.0,0.0,0.0,22.35481,42.48,17.03,4.353023,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-17,25.5805,13.330501,19.059666,0.0,0.0,0.0,0.0,11.304229,21.24,19.47,4.2800317,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-18,25.4305,10.580501,17.715914,0.0,0.0,0.0,0.0,16.055353,36.719997,17.41,3.7544527,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-19,25.630499,13.4805,19.29925,0.0,0.0,0.0,0.0,14.934577,26.64,17.49,3.838681,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-20,24.030499,14.330501,18.35758,0.0,0.0,0.0,0.0,12.181624,23.039999,13.97,3.0078373,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-21,26.9805,12.330501,19.143,0.0,0.0,0.0,0.0,18.218275,29.88,18.98,4.21977,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-22,28.130499,12.0305,19.568,0.0,0.0,0.0,0.0,15.856356,30.599998,20.21,4.6747084,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-23,27.9305,12.6305,20.02425,0.0,0.0,0.0,0.0,13.138765,23.039999,19.39,4.2492895,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-24,27.630499,12.830501,19.659666,0.0,0.0,0.0,0.0,21.096123,37.8,20.5,5.1005774,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-25,26.130499,11.080501,18.503414,0.0,0.0,0.0,0.0,19.9954,39.239998,20.63,4.8795085,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-26,26.880499,11.080501,18.363832,0.0,0.0,0.0,0.0,17.377226,35.64,20.77,4.6366196,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-27,29.2305,11.9305,20.099249,0.0,0.0,0.0,0.0,9.449572,21.24,20.57,4.340029,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-28,26.380499,13.1805,19.413832,0.0,0.0,0.0,0.0,14.973576,31.319998,20.4,4.3803926,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-29,25.880499,11.6305,18.628414,0.0,0.0,0.0,0.0,16.923828,27.72,20.82,4.2071514,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-30,27.780499,12.4305,19.503412,0.0,0.0,0.0,0.0,15.986593,30.960001,21.21,4.944754,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-01-31,29.4805,12.080501,20.430498,0.0,0.0,0.0,0.0,12.620554,23.039999,21.36,4.8386984,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-02-01,27.280499,12.580501,20.020082,0.0,0.0,0.0,0.0,18.64369,36.719997,21.3,4.803278,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-02-02,26.880499,11.3805,18.847166,0.0,0.0,0.0,0.0,10.137692,23.759998,21.27,4.390897,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-02-03,29.3305,13.080501,20.347166,0.0,0.0,0.0,0.0,19.255793,32.039997,21.81,4.93441,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-02-04,30.4805,12.1305,20.951334,0.0,0.0,0.0,0.0,13.896187,28.44,22.21,5.3159027,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-02-05,30.4805,12.3805,21.007584,0.0,0.0,0.0,0.0,19.602652,37.8,22.73,5.9587173,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-02-06,28.2305,12.0305,19.89925,0.0,0.0,0.0,0.0,18.289274,36.36,21.97,5.6079526,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
2021-02-07,29.130499,13.330501,20.015917,0.0,0.0,0.0,0.0,21.575987,37.079998,22.11,5.489838,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,historical
