date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,17.730501,1.0305,8.351333,0.0,0.0,0.0,0.0,17.208603,43.92,20.79,3.5330887,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-02,21.1305,3.5305002,10.538834,0.0,0.0,0.0,0.0,15.986593,37.079998,20.28,3.6002028,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-03,19.9305,4.2805,11.2555,0.0,0.0,0.0,0.0,15.546833,38.16,19.84,3.5006573,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-04,21.1805,8.0805,12.720082,0.0,0.0,0.0,0.0,14.84318,34.92,20.01,3.5084229,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-05,20.9305,6.5305,12.386749,0.0,0.0,0.0,0.0,13.493999,33.48,19.75,3.5168014,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-06,20.0305,6.6805,12.224248,0.0,0.0,0.0,0.0,18.837322,44.639996,18.82,3.4045033,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-07,19.6805,7.5804996,12.015916,0.0,0.0,0.0,0.0,13.276144,34.2,16.5,2.9676445,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-08,20.0305,6.5804996,12.0096655,0.0,0.0,0.0,0.0,14.4,38.16,17.57,3.1423364,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-09,18.080502,5.2805,11.034668,0.0,0.0,0.0,0.0,17.826363,43.56,17.07,2.8664837,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-10,18.0305,6.0804996,11.14925,0.0,0.0,0.0,0.0,16.279802,42.12,17.46,2.9549723,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-11,18.480501,4.7304997,10.834666,0.0,0.0,0.0,0.0,16.992609,43.199997,20.03,3.4078603,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-12,18.6305,3.5305002,10.28675,0.0,0.0,0.0,0.0,16.641972,42.12,20.12,3.417373,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-13,19.830502,6.8805,12.501334,0.0,0.0,0.0,0.0,16.92383,41.039997,19.03,3.4055798,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-14,19.6805,9.8305,13.8221655,0.5,0.5,0.0,0.0,6.28713,18.359999,11.12,2.1095839,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-15,21.7805,7.7304997,13.468001,0.0,0.0,0.0,0.0,14.05845,33.839996,18.98,3.476395,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-16,20.580502,7.6805,12.872167,0.1,0.1,0.0,0.0,15.30741,38.88,15.62,2.8424437,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
2021-01-17,18.6305,8.2805,12.478416,0.90000004,0.90000004,0.0,0.0,12.074766,33.48,12.92,2.2934818,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,historical
