date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,27.484499,10.9845,19.761581,0.0,0.0,0.0,0.0,8.557102,27.0,19.53,4.202143,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-02,29.6845,10.9845,20.219915,0.0,0.0,0.0,0.0,11.165805,24.48,19.73,4.549319,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-03,29.8345,13.184501,21.292833,0.0,0.0,0.0,0.0,10.00256,28.44,19.32,4.613097,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-04,30.7845,12.184501,21.678251,0.0,0.0,0.0,0.0,9.885262,25.56,19.57,4.277035,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-05,30.6845,13.934501,22.119917,0.0,0.0,0.0,0.0,10.163227,23.759998,19.34,4.553339,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-06,30.734499,14.9845,22.838663,0.0,0.0,0.0,0.0,8.825508,28.8,18.89,4.3071012,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-07,28.884499,15.684501,22.051168,0.0,0.0,0.0,0.0,8.647496,23.039999,15.78,3.5464344,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-08,30.0345,15.0345,22.663668,0.0,0.0,0.0,0.0,8.217153,26.64,18.39,4.075008,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-09,28.134499,17.9345,23.084497,0.0,0.0,0.0,0.0,10.799999,30.960001,16.83,4.0246973,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-10,27.984499,17.634499,22.297003,0.0,0.0,0.0,0.0,9.387651,25.199999,15.78,3.5998735,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-11,26.3345,15.0845,20.46158,0.6,0.6,0.0,0.0,8.373386,30.599998,14.08,3.1544535,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-12,27.9345,15.9845,21.986582,0.0,0.0,0.0,0.0,13.363711,37.8,17.92,3.9211593,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-13,29.984499,14.934501,22.717833,0.0,0.0,0.0,0.0,9.779817,25.56,18.93,4.2053328,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-14,30.384499,17.6845,23.694918,0.0,0.0,0.0,0.0,12.031756,25.199999,16.6,3.990773,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-15,31.234499,16.7845,23.961584,0.0,0.0,0.0,0.0,7.9932966,25.199999,18.3,4.1302366,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-16,30.2845,19.2845,23.736582,0.0,0.0,0.0,0.0,13.397612,33.839996,18.2,4.206898,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-17,27.634499,19.134499,22.98033,0.1,0.1,0.0,0.0,13.755579,37.8,15.59,3.4368463,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-18,29.8345,16.3345,22.953249,0.0,0.0,0.0,0.0,8.654987,28.8,18.89,4.139526,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-19,30.984499,17.0845,24.009499,0.0,0.0,0.0,0.0,11.525623,26.64,19.48,4.4546022,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-20,31.634499,18.5845,24.894915,0.0,0.0,0.0,0.0,11.570515,29.16,18.39,4.8502545,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-21,31.8345,15.7845,23.584501,0.0,0.0,0.0,0.0,10.464797,27.359999,20.61,4.566175,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-22,33.434498,15.2345,24.30533,0.0,0.0,0.0,0.0,10.514218,25.56,20.57,4.810606,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-23,32.7845,18.0845,25.142832,0.0,0.0,0.0,0.0,8.049845,26.64,18.48,4.3450274,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-24,29.3345,17.234499,23.786583,0.0,0.0,0.0,0.0,8.654986,23.039999,12.48,3.3655546,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-25,31.4345,15.8845005,23.905333,0.0,0.0,0.0,0.0,9.339208,23.4,20.47,4.41599,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-26,32.2345,16.2845,23.936583,0.0,0.0,0.0,0.0,7.386582,24.119999,20.62,4.343897,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-27,33.7345,15.8845005,24.626167,0.0,0.0,0.0,0.0,13.397612,31.319998,20.78,5.104277,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-28,33.7345,17.134499,24.749079,0.0,0.0,0.0,0.0,15.315873,36.0,20.13,5.139938,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-29,30.9345,16.634499,23.382414,0.0,0.0,0.0,0.0,10.315115,24.48,21.01,4.7898483,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-30,32.6345,17.134499,24.16575,0.0,0.0,0.0,0.0,12.9249525,36.36,20.85,5.010802,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-01-31,33.8845,15.9845,25.074081,0.0,0.0,0.0,0.0,12.620554,35.64,21.37,5.470288,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-01,33.1345,17.6845,24.730333,0.0,0.0,0.0,0.0,16.575644,35.64,20.75,5.3670096,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-02,29.7845,14.4845,21.601168,0.0,0.0,0.0,0.0,9.504273,31.319998,21.73,4.916958,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-03,32.7345,13.7845,22.803247,0.0,0.0,0.0,0.0,12.245293,27.359999,22.22,5.2852106,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-04,34.184498,14.5345,24.092833,0.0,0.0,0.0,0.0,10.009036,28.44,22.13,5.2127542,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-05,34.7845,15.5845,25.003248,0.0,0.0,0.0,0.0,8.78872,27.72,22.06,5.150355,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-06,33.434498,16.9345,24.680334,0.0,0.0,0.0,0.0,8.707237,23.759998,22.3,4.9070663,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-07,32.7845,15.184501,24.12825,0.0,0.0,0.0,0.0,7.4128532,27.72,22.38,5.0235314,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-08,33.0345,14.7845,24.469917,0.0,0.0,0.0,0.0,10.739832,27.72,22.69,5.1637483,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-09,32.1345,16.1845,24.067833,0.0,0.0,0.0,0.0,9.504273,26.28,21.55,4.8831396,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-10,31.4345,17.9345,24.601164,0.0,0.0,0.0,0.0,9.746631,24.48,20.2,4.4324174,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-11,31.484499,17.134499,24.16575,0.0,0.0,0.0,0.0,11.901798,27.0,20.69,4.679149,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-12,30.7845,15.8345,23.088663,0.0,0.0,0.0,0.0,19.721298,43.92,20.15,5.572783,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-13,29.5345,14.2345,21.83658,0.0,0.0,0.0,0.0,14.154915,36.0,23.55,5.4445105,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-14,30.1845,12.7845,21.497,0.0,0.0,0.0,0.0,12.55879,27.0,23.59,5.3382974,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-15,31.0345,11.0345,21.801168,0.0,0.0,0.0,0.0,12.72283,26.28,24.25,5.4590178,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-16,31.734499,12.2345,22.440748,0.0,0.0,0.0,0.0,13.004922,36.719997,23.98,5.852565,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-17,30.984499,11.3345,21.811583,0.0,0.0,0.0,0.0,10.97262,22.68,23.25,5.2385597,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-18,32.3345,11.3345,22.288666,0.0,0.0,0.0,0.0,6.725354,25.919998,24.31,5.42293,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-19,31.5845,13.7345,22.886581,0.0,0.0,0.0,0.0,18.455048,40.68,23.73,5.8413353,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-20,30.884499,14.434501,22.376165,0.0,0.0,0.0,0.0,8.39657,29.88,23.85,5.043318,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-21,32.9845,16.234499,24.163666,0.0,0.0,0.0,0.0,10.97262,27.0,23.73,5.5807004,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-22,33.3345,15.184501,25.146997,0.0,0.0,0.0,0.0,20.523157,46.079998,22.03,5.7075,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-23,32.934498,17.984499,25.417831,0.0,0.0,0.0,0.0,13.039754,32.039997,23.7,5.6617994,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-24,33.2345,16.0345,24.776163,0.0,0.0,0.0,0.0,8.891343,29.88,23.66,5.314771,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-25,33.3345,17.734499,25.630333,0.0,0.0,0.0,0.0,9.746631,28.8,24.26,5.762128,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-26,34.934498,17.8345,26.247002,0.0,0.0,0.0,0.0,8.707238,29.16,24.27,5.50913,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-27,35.2845,18.0845,26.547003,0.0,0.0,0.0,0.0,10.086427,27.72,24.4,5.7733235,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-02-28,35.9845,17.884499,26.728249,0.0,0.0,0.0,0.0,10.182337,27.72,24.49,5.9181113,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-03-01,37.0345,17.7845,27.288666,0.0,0.0,0.0,0.0,8.759178,25.56,24.81,5.803498,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-03-02,34.8345,20.2845,27.832415,0.0,0.0,0.0,0.0,15.629971,33.48,23.94,5.9492636,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-03-03,34.7345,19.4345,26.957418,0.0,0.0,0.0,0.0,11.659777,35.28,24.0,5.5824404,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-03-04,35.0845,19.2845,27.001162,0.0,0.0,0.0,0.0,10.661107,28.8,24.3,5.750607,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
2021-03-05,36.2345,18.634499,27.457415,0.0,0.0,0.0,0.0,9.726664,31.319998,24.62,5.7311344,Morelos,Centro,18.6813,-99.1013,2025-11-23,historical
