date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,22.4605,7.9605,14.679249,0.0,0.0,0.0,0.0,11.879999,33.12,18.04,3.5245957,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-02,25.7105,10.160501,16.695917,0.0,0.0,0.0,0.0,13.004921,34.2,18.36,3.7611713,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-03,29.7105,9.8105,18.443832,0.0,0.0,0.0,0.0,13.363711,33.839996,16.93,3.8272736,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-04,31.6605,11.910501,19.85425,0.0,0.0,0.0,0.0,14.440443,36.0,18.4,4.5613055,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-05,30.8605,13.1105,21.037584,0.0,0.0,0.0,0.0,13.698934,34.2,18.15,4.6622076,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-06,31.1605,13.7605,20.781334,0.0,0.0,0.0,0.0,14.417988,38.88,16.9,4.0874057,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-07,29.9605,15.460501,21.206333,0.0,0.0,0.0,0.0,13.138765,33.48,13.63,3.2896662,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-08,29.7605,15.1105,21.493835,0.0,0.0,0.0,0.0,13.979871,34.56,17.37,3.8041198,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-09,27.2105,16.1605,20.183416,2.6999998,2.6999998,0.0,0.0,14.044615,37.44,13.13,2.7564657,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-10,28.310501,14.7605,20.287582,0.0,0.0,0.0,0.0,13.684735,34.56,17.69,3.5279837,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-11,27.560501,12.6105,19.200083,0.0,0.0,0.0,0.0,13.849476,37.079998,18.15,3.7474513,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-12,28.560501,13.2605,19.879251,0.0,0.0,0.0,0.0,13.202726,36.0,18.4,4.0474825,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-13,30.560501,13.910501,20.525084,0.0,0.0,0.0,0.0,15.517629,39.6,15.21,3.9077163,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-14,31.5105,12.7605,20.781332,0.0,0.0,0.0,0.0,15.119999,39.6,18.78,4.233781,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-15,33.6105,12.960501,21.462584,0.0,0.0,0.0,0.0,16.039202,40.32,18.53,4.577458,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-16,28.8605,14.1105,20.589666,0.0,0.0,0.0,0.0,14.512064,38.519997,16.82,3.8866742,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-17,30.3605,13.660501,20.662584,0.0,0.0,0.0,0.0,15.856356,39.239998,19.04,4.1817703,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-18,30.810501,13.960501,21.40425,0.0,0.0,0.0,0.0,14.830076,38.88,18.51,4.3921123,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-19,31.060501,16.9105,22.845917,0.0,0.0,0.0,0.0,17.339897,44.28,17.46,4.4144416,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-20,28.1605,18.2105,22.073,0.3,0.3,0.0,0.0,11.901798,30.239998,8.46,2.7102466,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-21,32.6105,17.3605,23.843834,0.0,0.0,0.0,0.0,16.263872,41.399998,17.68,4.3561263,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-22,32.0605,16.310501,23.110498,0.0,0.0,0.0,0.0,16.946787,42.839996,18.66,4.2853966,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-23,30.1605,16.7605,22.612587,0.0,0.0,0.0,0.0,14.512064,37.44,18.96,4.0789413,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-24,27.7105,16.2605,21.298,0.0,0.0,0.0,0.0,15.226764,40.32,18.94,3.8766124,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
2021-01-25,26.0105,16.560501,19.900084,0.0,0.0,0.0,0.0,14.869351,37.8,16.64,3.346559,Nayarit,Occidente,21.7514,-104.8455,2025-11-23,historical
