date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,13.7245,3.4745002,8.520333,0.0,0.0,0.0,0.0,14.336861,27.72,13.79,2.0475798,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-02,16.874498,5.4245,11.0995,0.0,0.0,0.0,0.0,11.631956,19.44,16.18,2.7924047,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-03,21.124498,6.6245003,13.378666,0.0,0.0,0.0,0.0,10.823973,20.519999,15.79,3.0324306,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-04,26.3245,8.1745,17.1995,0.0,0.0,0.0,0.0,11.709688,23.039999,16.37,3.5747375,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-05,23.224499,10.1245,17.54325,0.0,0.0,0.0,0.0,12.24,26.28,15.63,3.1927226,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-06,26.6745,13.6245,18.341166,0.0,0.0,0.0,0.0,20.26899,36.0,11.62,3.3274841,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-07,21.1745,7.9245005,14.766168,0.0,0.0,0.0,0.0,13.896187,27.0,16.3,3.4860306,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-08,19.874498,6.4245,13.899499,0.0,0.0,0.0,0.0,16.299694,29.519999,16.53,3.2692719,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-09,12.9245,10.3745,11.259915,6.6999993,6.6999993,0.0,0.0,16.954432,27.72,2.99,0.71892,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-10,17.7745,8.1245,12.305751,1.2000002,1.2000002,0.0,0.0,28.84721,48.6,14.21,2.6672513,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-11,9.6245,5.9245,7.2599163,0.0,0.0,0.0,0.0,18.0036,30.599998,7.74,1.8139086,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-12,10.2245,3.3745,6.657833,0.0,0.0,0.0,0.0,8.049845,20.16,11.48,1.5868752,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-13,18.9245,2.3745,9.78075,0.0,0.0,0.0,0.0,14.84318,28.08,16.89,2.8234339,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-14,25.724499,6.1245003,15.316167,0.0,0.0,0.0,0.0,20.46941,31.68,17.41,3.7552521,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-15,18.2745,7.6745,13.157834,0.0,0.0,0.0,0.0,18.899143,32.760002,17.11,3.6384783,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
2021-01-16,21.8245,5.2745,13.134917,0.0,0.0,0.0,0.0,16.179985,28.44,17.2,3.5347903,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,historical
