date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,23.73,8.03,16.323748,0.2,0.2,0.0,0.0,12.096214,29.88,16.92,3.8164854,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-02,26.73,10.68,18.12375,0.3,0.3,0.0,0.0,18.532135,37.8,18.81,3.9693465,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-03,25.88,11.28,18.134169,0.0,0.0,0.0,0.0,11.901798,30.239998,18.9,3.781527,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-04,26.779999,10.93,18.638334,0.4,0.4,0.0,0.0,7.9932966,21.96,19.08,3.7569616,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-05,24.63,11.33,17.452917,0.1,0.1,0.0,0.0,9.885262,22.319998,16.53,3.31928,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-06,25.23,12.13,18.105,0.0,0.0,0.0,0.0,7.2,23.039999,16.54,3.3410769,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-07,24.429998,12.2300005,18.100832,0.1,0.1,0.0,0.0,10.195057,22.319998,16.28,3.3502724,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-08,25.179998,10.7300005,17.16125,0.2,0.2,0.0,0.0,14.618837,30.599998,18.48,3.6786904,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-09,23.779999,11.9800005,17.259165,0.0,0.0,0.0,0.0,8.654986,24.48,16.62,3.2821813,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
2021-01-10,24.279999,12.9800005,17.965416,0.0,0.0,0.0,0.0,16.23596,34.56,16.32,3.4358764,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,historical
