date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,24.718,5.618,14.172165,0.0,0.0,0.0,0.0,22.288042,49.32,19.79,4.5698423,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-02,24.918001,4.368,14.453416,0.0,0.0,0.0,0.0,20.780453,44.639996,20.06,4.2973104,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-03,24.868,4.068,14.359666,0.0,0.0,0.0,0.0,15.629971,36.36,19.78,4.267541,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-04,24.268,6.6679997,15.382584,0.0,0.0,0.0,0.0,15.856356,32.399998,19.66,4.147587,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-05,24.468,6.818,15.303416,0.0,0.0,0.0,0.0,22.19773,42.48,19.57,3.9922614,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-06,23.768,8.968,16.011751,0.0,0.0,0.0,0.0,17.339897,40.32,18.94,4.034967,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-07,21.818,10.018001,15.092999,0.0,0.0,0.0,0.0,18.129137,39.6,16.05,3.3983846,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-08,22.118,7.6679997,14.657582,0.0,0.0,0.0,0.0,19.881649,40.68,15.4,3.2779825,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-09,22.718,7.4179997,14.090919,1.3000001,1.3000001,0.0,0.0,19.862083,43.92,16.79,3.42693,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-10,22.068,8.818001,14.657584,1.0,1.0,0.0,0.0,19.242327,42.839996,16.68,3.4165652,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-11,22.818,9.118,14.522167,0.0,0.0,0.0,0.0,18.079027,38.519997,16.91,3.6215835,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-12,23.118,5.768,13.895084,0.0,0.0,0.0,0.0,20.304129,43.92,19.02,3.9642649,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-13,22.918001,6.368,13.861752,0.0,0.0,0.0,0.0,18.72346,40.68,19.03,3.8885405,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-14,23.068,8.318,14.653419,0.0,0.0,0.0,0.0,20.545246,45.36,13.14,3.1217437,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-15,24.268,7.068,15.667999,0.0,0.0,0.0,0.0,20.211363,43.199997,19.21,4.0584545,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-16,24.918001,7.618,15.836749,0.0,0.0,0.0,0.0,16.676977,37.44,19.13,4.2004323,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-17,24.118,11.318001,17.059666,0.4,0.4,0.0,0.0,17.015474,40.32,17.79,4.061234,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-18,24.268,7.1679997,15.736749,0.0,0.0,0.0,0.0,11.043261,24.119999,19.52,3.9519393,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-19,26.268,9.118,17.17425,0.0,0.0,0.0,0.0,18.998314,38.519997,18.53,4.100109,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-20,25.718,11.368,16.6305,0.0,0.0,0.0,0.0,20.140705,42.48,17.31,3.7499325,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-21,26.768,10.718,18.078417,0.0,0.0,0.0,0.0,13.661038,27.72,19.39,4.2204075,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-22,26.268,10.768001,18.717999,0.0,0.0,0.0,0.0,10.105681,27.0,19.02,4.143134,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-23,26.518,11.268001,19.213835,0.0,0.0,0.0,0.0,10.041354,24.119999,18.32,4.047107,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-24,26.668001,12.818001,19.353416,0.0,0.0,0.0,0.0,15.277749,35.64,18.13,4.369999,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-25,26.368,9.818001,17.99925,0.0,0.0,0.0,0.0,18.947083,43.56,20.84,4.789667,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-26,28.268,9.568001,18.71175,0.0,0.0,0.0,0.0,16.263872,34.92,21.16,4.9791574,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-27,27.468,11.718,17.436747,0.0,0.0,0.0,0.0,27.70831,57.239998,20.57,4.877806,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-28,20.018,9.118,13.303417,0.0,0.0,0.0,0.0,27.475807,59.039997,20.25,3.9694657,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-29,24.618,7.9179997,15.090917,0.0,0.0,0.0,0.0,18.720001,38.16,20.15,4.0713506,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-30,26.768,9.168,17.578417,0.0,0.0,0.0,0.0,9.346143,24.48,19.22,4.1141176,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-01-31,26.768,9.168,16.951332,0.0,0.0,0.0,0.0,25.959969,52.92,21.49,4.991199,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-02-01,19.868,8.218,13.495083,0.0,0.0,0.0,0.0,26.758923,56.519997,20.82,4.037519,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-02-02,25.218,5.9179997,14.534667,0.0,0.0,0.0,0.0,18.0036,34.92,22.11,4.686215,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-02-03,28.318,6.568,17.3555,0.0,0.0,0.0,0.0,11.27553,28.08,22.51,4.9327765,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-02-04,28.818,9.318001,18.8305,0.0,0.0,0.0,0.0,12.964998,32.039997,22.4,5.190723,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-02-05,29.318,9.818001,19.659666,0.0,0.0,0.0,0.0,16.055353,38.16,22.65,5.6669188,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
2021-02-06,28.018,11.218,19.57008,0.0,0.0,0.0,0.0,17.555305,41.760002,22.5,5.3765674,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,historical
