date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,30.727999,24.528,26.8155,0.0,0.0,0.0,0.0,19.85556,48.239998,15.57,3.7694387,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-02,30.028,22.627998,25.586334,0.3,0.3,0.0,0.0,13.039754,29.16,14.33,3.2197082,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-03,26.477999,22.578,24.034248,14.200003,14.200003,0.0,0.0,9.36,27.72,9.09,1.7651658,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-04,26.877998,22.078,24.002998,3.8999999,3.8999999,0.0,0.0,9.449572,19.44,9.15,1.89719,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-05,28.477999,20.778,23.192587,5.6,5.6,0.0,0.0,13.202726,30.599998,13.26,2.6810062,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-06,26.977999,18.578,22.046751,3.5,3.5,0.0,0.0,16.071491,35.64,13.71,2.5470128,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-07,28.178,19.828,23.598831,0.5,0.5,0.0,0.0,9.746631,19.44,14.34,2.8270226,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-08,27.377998,18.377998,22.594666,0.0,0.0,0.0,0.0,15.745627,35.28,13.28,2.9820385,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-09,25.377998,15.328,19.925919,0.0,0.0,0.0,0.0,10.495713,26.64,17.54,3.4505913,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-10,26.078,15.728,20.675919,0.1,0.1,0.0,0.0,13.039754,31.319998,12.34,2.7509255,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-11,24.028,19.678,21.821749,14.6,14.6,0.0,0.0,10.823973,29.88,7.12,1.368571,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-12,25.328,19.127998,21.836334,11.299999,11.299999,0.0,0.0,11.165805,25.919998,9.86,1.8471538,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-13,27.278,20.578,22.765501,7.0999994,7.0999994,0.0,0.0,11.525623,22.68,12.47,2.36914,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-14,25.578,19.328,22.169668,0.70000005,0.70000005,0.0,0.0,13.910169,30.239998,10.21,2.0247695,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-15,27.328,18.828,22.89675,0.5,0.5,0.0,0.0,11.212135,21.96,15.0,3.023936,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-16,25.627998,17.828,21.340498,0.0,0.0,0.0,0.0,12.605142,30.599998,17.19,3.4983466,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-17,22.627998,15.678,18.638414,2.5,2.5,0.0,0.0,12.599999,23.4,11.14,2.2622116,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-18,24.377998,15.278,19.821749,1.1,1.1,0.0,0.0,10.703569,26.28,12.27,2.4106443,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-19,27.428,19.428,23.455084,1.1,1.1,0.0,0.0,20.192118,44.28,13.88,2.933763,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-20,28.828,21.127998,23.998833,1.1,1.1,0.0,0.0,17.25373,39.239998,15.62,3.264447,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-21,29.178,17.778,22.828003,0.0,0.0,0.0,0.0,10.661107,25.919998,18.51,3.6770012,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-22,28.977999,18.778,23.49675,0.0,0.0,0.0,0.0,10.636766,26.64,14.73,3.0858183,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-23,28.778,20.928,24.348837,0.5,0.5,0.0,0.0,12.641076,30.239998,13.92,2.9818583,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-24,27.727999,21.877998,24.252998,1.6000001,1.6000001,0.0,0.0,16.516901,36.719997,12.57,2.6525154,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-25,29.828,21.977999,24.975916,0.1,0.1,0.0,0.0,19.95972,43.56,14.5,3.2092206,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-26,30.528,22.678,25.965502,0.0,0.0,0.0,0.0,20.390114,44.28,18.02,3.9985871,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-27,31.078,22.627998,25.977999,0.0,0.0,0.0,0.0,15.9134655,37.44,18.16,3.9623036,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-28,30.178,22.078,25.075914,0.4,0.4,0.0,0.0,12.979984,31.68,16.68,3.7263541,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-29,27.127998,19.178,22.809248,4.3,4.3,0.0,0.0,15.580141,35.64,13.04,2.8650644,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-30,28.528,16.078,21.844671,0.0,0.0,0.0,0.0,15.546833,35.64,20.35,4.230086,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-01-31,27.977999,18.377998,22.925913,1.3000001,1.3000001,0.0,0.0,12.959999,32.039997,14.19,2.8800473,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-02-01,28.328,18.877998,23.405083,1.1,1.1,0.0,0.0,17.25373,39.239998,16.71,4.059441,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-02-02,22.828,15.728,18.863417,0.0,0.0,0.0,0.0,15.188415,33.839996,13.83,2.9096544,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-02-03,25.227999,12.228,18.636332,0.0,0.0,0.0,0.0,9.178235,22.68,20.09,3.6741323,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-02-04,26.377998,13.528,20.336329,0.2,0.2,0.0,0.0,13.854155,32.399998,14.46,3.0476565,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
2021-02-05,29.578,17.977999,23.236334,0.0,0.0,0.0,0.0,18.079027,41.760002,20.25,4.3770695,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,historical
