date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,22.901,8.901,15.478082,0.0,0.0,0.0,0.0,11.525623,26.28,16.27,3.1488826,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-02,26.401,8.051,16.3635,0.0,0.0,0.0,0.0,13.779114,27.72,17.18,3.6957328,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-03,28.701,9.301,17.726,0.0,0.0,0.0,0.0,9.504272,23.759998,16.87,3.7529156,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-04,30.301,11.801,19.548916,0.0,0.0,0.0,0.0,11.753876,26.64,16.93,4.1225724,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-05,29.951,13.250999,19.848915,0.0,0.0,0.0,0.0,12.397806,27.359999,14.62,3.5329375,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-06,29.951,14.551,20.859333,0.0,0.0,0.0,0.0,12.24,29.88,14.17,3.391382,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-07,31.451,15.301,21.442667,0.0,0.0,0.0,0.0,12.10157,28.44,16.73,3.8975194,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-08,29.401,14.351,20.126,0.0,0.0,0.0,0.0,9.931042,25.199999,16.62,3.5932636,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-09,27.251,14.051,19.309332,0.0,0.0,0.0,0.0,12.10157,31.319998,16.63,3.3451874,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-10,27.601,13.250999,19.561417,0.0,0.0,0.0,0.0,15.542662,30.960001,16.79,3.6627746,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-11,27.901,9.851,17.840582,0.0,0.0,0.0,0.0,15.273505,34.56,17.21,3.7127106,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-12,26.651,7.401,16.778084,0.0,0.0,0.0,0.0,12.144331,28.08,17.42,3.6130364,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-13,30.101,12.201,19.480167,0.0,0.0,0.0,0.0,12.7279215,25.56,17.78,4.211028,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-14,30.901,12.000999,19.959333,0.0,0.0,0.0,0.0,12.181625,26.64,17.92,4.354088,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-15,30.551,11.651,19.446833,0.0,0.0,0.0,0.0,11.165805,25.56,17.84,4.064022,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-16,30.351,8.951,19.14475,0.0,0.0,0.0,0.0,13.237039,29.88,17.76,3.792835,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-17,30.201,11.701,19.746832,0.0,0.0,0.0,0.0,10.805999,27.72,17.7,3.8963175,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-18,29.651,12.250999,19.565584,0.0,0.0,0.0,0.0,9.255571,27.0,17.69,3.792147,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-19,24.451,15.551,20.03225,0.1,0.1,0.0,0.0,13.779114,32.760002,6.5,2.1244824,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-20,25.801,18.751,21.34683,6.1000004,6.1000004,0.0,0.0,14.021525,27.72,5.58,1.833719,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-21,28.001,17.901,21.801,2.6999998,2.6999998,0.0,0.0,10.296251,22.319998,13.05,2.7200947,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-22,29.551,16.851,22.376001,0.0,0.0,0.0,0.0,14.458382,32.039997,17.19,3.6518452,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-23,26.851,14.801,19.513498,0.0,0.0,0.0,0.0,11.090103,24.48,12.36,2.692472,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-24,23.801,13.301,17.861418,0.0,0.0,0.0,0.0,13.1041975,31.319998,15.88,3.0978231,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-25,23.651,11.151,16.265583,0.0,0.0,0.0,0.0,15.463244,33.12,18.31,3.5885463,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-26,24.701,8.701,16.08225,0.0,0.0,0.0,0.0,13.570615,30.599998,18.69,3.9173558,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-27,29.101,7.4509997,17.140585,0.0,0.0,0.0,0.0,10.931203,28.44,18.51,3.9585228,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-28,29.551,10.451,19.398918,0.0,0.0,0.0,0.0,11.183201,24.48,18.19,3.878877,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-29,31.751,14.901,21.932251,0.0,0.0,0.0,0.0,17.283749,39.6,17.89,4.1607614,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-30,30.551,13.601,21.246832,0.0,0.0,0.0,0.0,12.10157,28.8,18.32,4.161208,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-01-31,31.151,13.201,20.780167,0.0,0.0,0.0,0.0,13.441071,30.599998,18.99,4.271609,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-02-01,30.801,12.601,20.95725,0.0,0.0,0.0,0.0,10.514218,28.44,17.2,3.7176833,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-02-02,30.901,13.750999,21.523916,0.0,0.0,0.0,0.0,12.144331,27.0,18.68,4.0540943,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-02-03,32.801003,13.801,22.115583,0.0,0.0,0.0,0.0,14.154915,33.48,18.76,4.383318,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-02-04,32.051003,14.000999,21.834333,0.0,0.0,0.0,0.0,13.397612,32.039997,19.16,4.445934,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-02-05,31.651,12.801,21.351,0.0,0.0,0.0,0.0,14.759999,32.039997,19.87,4.6159825,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-02-06,28.651,12.851,19.369747,0.0,0.0,0.0,0.0,11.212135,30.239998,19.89,4.1274796,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
2021-02-07,28.801,12.451,19.598917,0.0,0.0,0.0,0.0,12.313894,29.519999,17.95,3.7829647,Sinaloa,Norte,24.8069,-107.394,2025-11-23,historical
