date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,17.843,8.243,12.526333,4.0,4.0,0.0,0.0,15.463246,32.039997,12.44,2.320486,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-02,21.543,6.743,13.107582,0.0,0.0,0.0,0.0,15.1884165,25.56,14.81,3.0502112,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-03,22.543,6.243,13.784665,0.0,0.0,0.0,0.0,12.413477,19.8,14.88,3.2251363,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-04,23.793,8.092999,15.170082,0.0,0.0,0.0,0.0,13.979872,21.24,14.78,3.6643207,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-05,23.143,9.592999,15.407585,0.0,0.0,0.0,0.0,15.0038395,21.96,11.14,3.0653472,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-06,27.243,8.592999,16.640917,0.0,0.0,0.0,0.0,15.484185,24.119999,15.43,4.035213,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-07,25.993,9.842999,16.947166,0.0,0.0,0.0,0.0,16.075521,24.119999,14.99,4.255214,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-08,25.843,8.792999,16.274248,0.0,0.0,0.0,0.0,14.113652,21.24,14.93,3.9274893,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-09,23.343,7.243,15.324249,0.0,0.0,0.0,0.0,17.698677,30.599998,15.47,3.9922712,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-10,22.843,5.993,14.28675,0.0,0.0,0.0,0.0,13.70839,25.919998,15.8,3.750606,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-11,20.593,8.542999,14.334666,0.0,0.0,0.0,0.0,18.668005,31.68,12.15,3.6089365,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-12,23.493,8.143,14.851333,0.0,0.0,0.0,0.0,20.87379,36.0,15.78,4.615746,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-13,27.093,9.493,16.77008,0.0,0.0,0.0,0.0,20.018072,30.599998,16.37,4.999624,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-14,27.192999,6.9430003,16.757582,0.0,0.0,0.0,0.0,13.979871,25.919998,15.8,4.032022,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-15,28.942999,10.292999,18.597166,0.0,0.0,0.0,0.0,13.779114,25.199999,15.84,4.7557955,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-16,28.093,11.493,18.686749,0.0,0.0,0.0,0.0,17.287498,26.28,15.93,4.7089276,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-17,28.993,11.493,19.280499,0.0,0.0,0.0,0.0,16.610792,25.919998,16.03,4.692696,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-18,27.692999,10.393,18.415918,0.0,0.0,0.0,0.0,15.349684,27.359999,16.07,4.679809,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-19,25.243,13.792999,18.803415,0.2,0.2,0.0,0.0,29.522196,49.68,14.14,5.2879324,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-20,19.692999,15.042999,17.288834,11.7,11.7,0.0,0.0,15.629971,31.68,6.39,1.814645,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-21,19.643,13.342999,16.832582,6.2,6.2,0.0,0.0,21.38897,39.96,11.51,1.885095,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-22,20.493,10.143,14.390916,0.0,0.0,0.0,0.0,11.609651,21.96,16.08,2.6049976,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-23,20.043,9.443,14.101333,0.0,0.0,0.0,0.0,18.899143,31.68,15.44,2.6274421,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-24,15.842999,10.092999,12.845084,0.90000004,0.90000004,0.0,0.0,21.96,37.8,12.09,2.0786097,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-25,15.943,8.592999,11.893001,0.9,0.9,0.0,0.0,23.47741,43.56,11.57,2.2750547,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-26,14.792999,7.093,10.555499,0.2,0.2,0.0,0.0,15.986595,30.599998,13.38,2.1822388,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-27,22.043,5.9430003,12.376334,0.0,0.0,0.0,0.0,14.76439,25.56,16.47,3.1072612,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-28,23.192999,10.393,15.626334,0.0,0.0,0.0,0.0,15.725037,25.56,13.91,2.9647417,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
2021-01-29,20.493,11.393,15.145083,0.1,0.1,0.0,0.0,14.20062,37.8,11.73,2.4876945,Sonora,Norte,29.0729,-110.9559,2025-11-23,historical
