date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,26.974,19.724,23.171915,0.0,0.0,0.0,0.0,11.792404,23.759998,15.45,2.9395688,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-02,26.774,20.524,23.382332,1.2,1.2,0.0,0.0,8.913181,20.16,10.75,2.2043936,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-03,26.574001,21.224,23.009417,2.4999998,2.4999998,0.0,0.0,16.62249,30.599998,9.25,1.8519459,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-04,25.824001,21.074001,23.005249,8.0,8.0,0.0,0.0,11.753876,20.519999,9.24,1.874764,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-05,26.574001,21.674002,23.417747,4.1,4.1,0.0,0.0,19.416653,37.8,13.46,2.6454277,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-06,27.124,20.874,23.65525,0.0,0.0,0.0,0.0,19.483284,35.64,14.42,2.9551516,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-07,27.174002,20.574001,23.024,5.800001,5.800001,0.0,0.0,16.299694,32.399998,13.56,2.5815704,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-08,23.924002,19.924002,21.69275,4.0,4.0,0.0,0.0,14.440443,27.0,7.83,1.7774874,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-09,23.224,18.574001,20.646915,0.2,0.2,0.0,0.0,16.808569,33.48,13.05,2.6672783,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-10,24.824001,16.624,20.703167,0.0,0.0,0.0,0.0,18.057508,33.839996,15.99,3.1810505,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-11,25.074001,18.174002,21.40525,15.1,15.1,0.0,0.0,16.87398,28.8,11.15,2.2496524,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-12,21.474,17.874,20.069834,6.3,6.3,0.0,0.0,23.966375,41.760002,8.2,1.5528445,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-13,23.174002,19.124,20.786499,4.6,4.6,0.0,0.0,29.215502,53.28,8.14,1.6556354,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-14,24.774,20.074001,22.128164,1.5000001,1.5000001,0.0,0.0,16.78156,32.399998,11.89,2.3271058,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-15,24.124,19.074001,21.499,2.9,2.9,0.0,0.0,14.113653,24.84,7.81,1.5151726,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-16,23.174002,19.874,21.288584,2.8999996,2.8999996,0.0,0.0,18.328207,34.2,11.56,2.147941,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-17,24.674002,17.824001,21.369835,0.0,0.0,0.0,0.0,12.979984,24.119999,13.75,2.7489905,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-18,22.274,18.374,20.20733,0.0,0.0,0.0,0.0,20.176065,34.56,9.81,2.3540456,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-19,26.974,17.274,22.484415,0.0,0.0,0.0,0.0,27.722336,50.76,18.06,3.5815392,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-20,27.474,22.074001,24.184418,0.4,0.4,0.0,0.0,27.534704,50.399998,17.07,3.3786266,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-21,28.124,21.074001,24.109419,0.0,0.0,0.0,0.0,20.883104,39.6,19.62,3.8595786,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-22,29.174002,19.524,24.236502,0.0,0.0,0.0,0.0,18.899143,32.039997,19.79,4.0830607,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-23,29.174002,20.474,24.494833,0.0,0.0,0.0,0.0,15.328561,25.199999,15.55,3.2562768,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-24,30.274,20.724,25.407331,0.0,0.0,0.0,0.0,20.833395,38.16,19.61,4.4171057,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-25,30.374,21.724,25.657333,0.0,0.0,0.0,0.0,18.72346,32.399998,20.37,4.4384575,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-26,30.224,20.524,25.190668,0.0,0.0,0.0,0.0,9.885262,21.24,20.58,4.036296,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-27,29.824001,21.624,25.234415,1.2,1.2,0.0,0.0,17.25373,30.599998,20.48,4.104822,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-28,28.624,22.324001,24.80317,5.6999993,5.6999993,0.0,0.0,16.58346,29.88,17.81,3.568585,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-29,26.724,21.524,23.449,13.200002,13.200002,0.0,0.0,17.906157,34.56,15.74,3.068668,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-30,27.124,20.474,23.567749,0.5,0.5,0.0,0.0,22.314192,41.399998,14.73,3.3141444,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-01-31,26.674002,18.474,23.244835,2.5,2.5,0.0,0.0,21.288757,36.719997,12.95,2.7645786,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-02-01,25.524,19.074001,22.326086,4.5,4.5,0.0,0.0,21.316135,38.519997,12.5,2.4869988,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
2021-02-02,23.074001,18.224,20.007334,0.2,0.2,0.0,0.0,14.512064,27.0,13.14,2.632946,Tabasco,Golfo,17.8409,-92.6189,2025-11-23,historical
