date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,20.457,3.407,11.986168,0.0,0.0,0.0,0.0,32.431984,59.76,20.54,4.5286074,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-02,22.057,4.657,13.856999,0.0,0.0,0.0,0.0,26.319422,50.76,20.62,4.7277846,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-03,22.007,6.157,13.896586,0.0,0.0,0.0,0.0,22.734219,43.199997,20.05,4.1888876,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-04,23.407,7.007,14.434083,0.0,0.0,0.0,0.0,20.371038,38.519997,19.83,4.5191197,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-05,21.607,7.507,14.152833,0.0,0.0,0.0,0.0,18.861387,37.44,19.75,4.460654,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-06,20.807,7.257,14.0195,0.2,0.2,0.0,0.0,18.057508,35.28,18.93,3.8019838,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-07,20.607,8.557,13.761167,0.0,0.0,0.0,0.0,24.187069,45.719997,16.68,3.5767043,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-08,20.657,6.757,13.754917,0.2,0.2,0.0,0.0,18.430452,35.64,16.33,3.3421254,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-09,17.907,9.557,13.123668,1.7,1.7,0.0,0.0,26.882141,49.32,16.17,3.1369572,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-10,17.607,9.907,12.500751,1.4000002,1.4000002,0.0,0.0,26.042212,49.68,12.16,2.3880994,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-11,14.807,7.857,10.636167,0.5,0.5,0.0,0.0,26.642431,51.48,8.54,1.6825701,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-12,17.907,6.157,11.904918,0.0,0.0,0.0,0.0,29.179993,54.36,17.81,3.3433106,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-13,20.557,5.907,13.075751,0.0,0.0,0.0,0.0,23.210928,44.639996,17.97,3.5396087,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-14,20.857,9.007,14.252833,0.0,0.0,0.0,0.0,19.969458,39.96,16.47,3.2173269,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-15,21.257,10.107,15.200751,0.2,0.2,0.0,0.0,19.255793,38.88,16.29,3.618278,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-16,20.957,9.257,14.198667,2.0,2.0,0.0,0.0,21.841648,39.6,16.23,3.2992435,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-17,18.007,9.707,12.71325,7.7999997,7.7999997,0.0,0.0,14.345898,34.92,13.76,2.4229436,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
2021-01-18,19.457,6.507,12.625749,0.6,0.6,0.0,0.0,14.512064,30.599998,18.46,3.3595514,Tlaxcala,Centro,19.3139,-98.2404,2025-11-23,historical
