date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,24.441,22.241,23.420168,0.1,0.1,0.0,0.0,28.410364,42.839996,13.64,3.0264935,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-02,25.441,20.291,22.445166,0.1,0.1,0.0,0.0,47.510452,74.520004,13.23,3.76716,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-03,23.140999,20.491,21.620165,0.6,0.6,0.0,0.0,29.09103,44.28,11.29,2.8950322,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-04,23.291,19.741,21.94725,0.8,0.8,0.0,0.0,21.829777,35.28,6.75,1.6570913,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-05,23.890999,21.741,22.786835,10.000001,10.000001,0.0,0.0,20.265795,33.12,9.86,1.9176074,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-06,25.741,20.640999,23.018084,0.3,0.3,0.0,0.0,18.079027,32.039997,14.01,2.5643191,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-07,23.691,20.541,22.397253,0.0,0.0,0.0,0.0,53.183826,81.0,16.87,4.201294,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-08,22.541,16.841,20.455584,0.0,0.0,0.0,0.0,21.629978,36.36,11.99,2.802082,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-09,23.441,19.941,21.707666,1.0000001,1.0000001,0.0,0.0,17.727943,29.88,10.85,2.6143231,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-10,23.890999,18.741,21.53267,0.0,0.0,0.0,0.0,19.881649,33.839996,11.06,2.4363382,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-11,22.941,17.191,19.024332,1.7,1.7,0.0,0.0,53.88949,81.0,4.87,2.5840604,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-12,19.491,17.291,18.04725,0.0,0.0,0.0,0.0,31.311724,49.32,9.81,2.8715441,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-13,21.091,17.791,19.474333,0.0,0.0,0.0,0.0,40.323215,60.479996,10.35,3.3934946,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-14,24.591,16.941,20.588917,0.0,0.0,0.0,0.0,18.733839,33.48,14.52,2.7957413,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-15,24.841,18.691,21.670168,0.0,0.0,0.0,0.0,40.83898,63.72,16.5,3.5764244,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-16,21.541,20.191,20.701418,0.2,0.2,0.0,0.0,27.722336,44.639996,8.26,2.3919282,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-17,25.091,18.291,21.093084,0.5,0.5,0.0,0.0,19.813087,34.2,11.53,2.3949325,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-18,23.390999,20.390999,21.668085,8.1,8.1,0.0,0.0,19.33639,28.44,8.0,1.7586334,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-19,24.841,18.841,22.332666,1.0,1.0,0.0,0.0,16.363178,26.28,18.49,3.3861868,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-20,24.941,22.091,23.330584,29.000004,29.000004,0.0,0.0,15.905319,31.68,12.27,2.1966703,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-21,25.691,20.941,23.207666,0.5,0.5,0.0,0.0,17.313717,30.239998,17.22,2.9292903,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-22,25.491,20.291,22.620169,0.0,0.0,0.0,0.0,13.363711,25.919998,18.61,3.2172222,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-23,26.441,21.640999,23.545168,0.0,0.0,0.0,0.0,16.700275,30.599998,16.6,2.9630644,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-24,26.041,21.541,23.528502,0.0,0.0,0.0,0.0,16.923828,30.960001,17.85,3.1099584,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-25,28.841,21.441,24.713919,0.0,0.0,0.0,0.0,17.399586,30.239998,19.75,3.8005233,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-26,28.890999,21.140999,24.426414,0.0,0.0,0.0,0.0,19.803272,34.92,20.0,4.0044966,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-27,25.741,21.841,23.53058,0.0,0.0,0.0,0.0,54.431477,83.88,18.21,3.465619,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-28,23.691,21.241,22.591003,2.6999998,2.6999998,0.0,0.0,42.01525,62.279995,9.64,4.3324046,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-29,23.541,20.640999,21.732668,3.6,3.6,0.0,0.0,26.654589,40.32,8.02,2.3886206,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-30,25.491,19.541,22.672249,1.2,1.2,0.0,0.0,23.993399,39.96,17.42,3.0562103,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-01-31,25.390999,20.241,23.049334,0.0,0.0,0.0,0.0,27.729347,41.399998,19.46,3.5215032,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-01,24.140999,19.640999,21.691002,4.2999997,4.2999997,0.0,0.0,42.55468,64.799995,9.46,2.6434906,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-02,22.041,19.140999,20.653502,0.4,0.4,0.0,0.0,24.216522,39.96,16.47,3.601546,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-03,23.390999,17.441,20.68475,0.0,0.0,0.0,0.0,21.602999,36.36,19.86,3.8209085,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-04,25.491,16.791,21.134748,0.0,0.0,0.0,0.0,20.696085,36.36,21.48,4.0507417,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-05,30.591,18.541,23.095167,0.0,0.0,0.0,0.0,19.829433,29.519999,21.66,4.3390894,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-06,28.041,21.591,24.291,0.1,0.1,0.0,0.0,24.251284,41.039997,17.92,3.4392574,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-07,24.691,22.441,23.676414,0.1,0.1,0.0,0.0,37.612675,60.120003,15.26,3.4716172,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-08,26.541,20.041,23.384748,0.0,0.0,0.0,0.0,25.323128,45.0,20.91,3.895429,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-09,27.041,21.991,24.20767,0.0,0.0,0.0,0.0,18.089775,34.2,18.27,3.4873664,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-10,27.091,22.591,24.684753,0.2,0.2,0.0,0.0,16.946787,30.960001,17.89,3.4691281,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-11,27.541,22.491,24.834753,0.6,0.6,0.0,0.0,19.255793,36.0,18.92,3.580595,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-12,25.341,19.791,22.8535,3.5000002,3.5000002,0.0,0.0,50.401283,77.76,14.31,3.5057836,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-13,21.890999,19.341,20.6785,1.4000001,1.4000001,0.0,0.0,36.537785,60.120003,10.08,2.6365423,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-14,22.841,20.041,21.122252,0.9000001,0.9000001,0.0,0.0,24.72495,38.16,17.13,3.3478112,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-15,21.341,16.241,18.695166,2.5999997,2.5999997,0.0,0.0,47.656166,73.799995,10.56,2.6208878,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-16,19.991,16.390999,18.145164,1.6000001,1.6000001,0.0,0.0,26.576681,42.839996,12.36,2.5049973,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-17,23.741,16.541,20.28475,0.0,0.0,0.0,0.0,22.45315,34.2,21.94,3.7784479,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-18,22.841,19.441,21.224333,0.70000005,0.70000005,0.0,0.0,47.30405,69.84,15.65,3.5212274,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-19,19.491,15.540999,17.455584,0.2,0.2,0.0,0.0,51.75117,77.76,13.93,4.0155993,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-20,20.441,16.441,18.686832,0.1,0.1,0.0,0.0,26.111792,39.6,19.58,3.7789116,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-21,24.691,16.791,20.838919,0.1,0.1,0.0,0.0,25.764534,44.28,21.44,4.0448184,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-22,24.841,18.291,21.734749,1.7,1.7,0.0,0.0,34.268143,55.44,10.27,2.5695667,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-23,24.341,20.741,22.428503,0.90000004,0.90000004,0.0,0.0,24.693481,39.96,18.4,3.404271,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-24,26.691,19.591,22.905586,0.0,0.0,0.0,0.0,21.749481,39.6,22.13,4.0849957,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-25,27.041,21.291,23.957666,0.0,0.0,0.0,0.0,14.417988,27.0,21.11,3.9689708,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-26,27.890999,21.941,24.40558,0.0,0.0,0.0,0.0,24.522316,42.12,22.58,4.274509,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-27,28.041,22.091,24.886839,0.1,0.1,0.0,0.0,21.188072,36.719997,23.07,4.351507,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-02-28,29.041,23.491,25.98475,0.1,0.1,0.0,0.0,17.902534,34.2,23.05,4.5648694,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-01,29.491,22.241,25.747248,0.0,0.0,0.0,0.0,22.19773,37.079998,23.47,4.7902718,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-02,24.341,19.841,22.638918,0.5,0.5,0.0,0.0,52.924892,82.799995,22.68,4.832796,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-03,23.841,19.991,21.999334,0.0,0.0,0.0,0.0,31.193535,51.12,22.08,4.695044,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-04,25.491,19.890999,22.907667,0.0,0.0,0.0,0.0,20.87379,39.239998,22.12,4.068633,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-05,28.591,21.191,24.426414,0.0,0.0,0.0,0.0,25.223133,44.639996,22.7,4.4240594,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-06,25.691,21.241,23.693085,0.9000001,0.9000001,0.0,0.0,47.554077,75.24,17.84,4.130096,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-07,23.890999,20.941,22.138916,1.1,1.1,0.0,0.0,27.038372,42.12,17.48,4.005225,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-08,22.791,20.441,21.71392,3.7,3.7,0.0,0.0,20.545246,35.64,12.37,2.6610339,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-09,23.291,20.441,21.85142,3.9,3.9,0.0,0.0,15.876775,25.56,16.57,3.1171904,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-10,26.041,19.191,22.674334,0.0,0.0,0.0,0.0,23.499481,39.239998,24.51,4.5379148,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-11,26.640999,20.890999,23.818085,0.1,0.1,0.0,0.0,23.000591,39.96,23.65,4.252031,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-12,27.591,22.441,24.799332,0.0,0.0,0.0,0.0,26.019806,43.199997,24.2,4.4897914,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-13,27.841,22.541,24.965998,0.0,0.0,0.0,0.0,25.919998,45.719997,23.36,4.431771,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
2021-03-14,29.741,22.741,25.799337,0.0,0.0,0.0,0.0,23.510508,42.48,24.71,4.949309,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,historical
