date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,32.060997,24.011,27.013084,0.3,0.3,0.0,0.0,18.581022,51.839996,13.64,3.5778422,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-02,30.711,22.611,25.746416,1.4000001,1.4000001,0.0,0.0,13.138765,34.2,14.61,3.1729429,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-03,28.311,21.461,23.879751,6.3999996,6.3999996,0.0,0.0,10.08,30.599998,12.12,2.4346538,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-04,24.911001,21.261,22.652666,2.3,2.3,0.0,0.0,10.195057,22.319998,7.25,1.4579285,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-05,28.111,19.411001,22.80475,0.1,0.1,0.0,0.0,15.408671,37.44,11.34,2.8689387,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-06,28.711,17.061,22.650583,0.0,0.0,0.0,0.0,11.183201,30.599998,16.15,3.542154,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-07,27.611,19.561,22.833916,2.0,2.0,0.0,0.0,13.441071,27.72,11.63,2.3851216,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-08,25.611,17.511,20.742249,0.0,0.0,0.0,0.0,14.685176,37.079998,17.26,3.4951308,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-09,25.261,15.961,20.073498,0.0,0.0,0.0,0.0,14.154915,29.519999,13.8,3.1815279,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-10,26.461,14.161,20.217253,0.0,0.0,0.0,0.0,13.679999,32.399998,13.24,3.1601667,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-11,25.561,17.711,20.971418,2.2999997,2.2999997,0.0,0.0,10.685391,27.72,10.46,2.1672823,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-12,23.111,19.861,21.07767,16.1,16.1,0.0,0.0,14.186923,32.760002,5.33,1.0336089,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-13,24.911001,19.761,21.567247,17.9,17.9,0.0,0.0,18.430452,41.039997,8.31,1.5319015,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-14,25.961,18.861,21.821417,0.0,0.0,0.0,0.0,13.202726,33.48,11.82,2.4376912,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-15,26.411001,17.561,21.717253,0.0,0.0,0.0,0.0,13.009903,30.239998,10.88,2.4295979,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-16,24.011,16.011,20.027668,0.0,0.0,0.0,0.0,12.959999,33.48,15.58,3.2445614,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-17,23.461,13.511001,18.419333,0.0,0.0,0.0,0.0,8.766573,21.96,13.83,2.6687043,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-18,25.761,15.611,20.294336,0.0,0.0,0.0,0.0,10.948973,28.44,17.16,3.3990529,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-19,28.561,18.161001,22.983915,0.0,0.0,0.0,0.0,15.4800005,40.32,14.4,3.275855,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-20,27.761,19.711,23.25683,0.0,0.0,0.0,0.0,16.394829,39.239998,13.84,3.0945609,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-21,28.811,17.611,22.629751,0.0,0.0,0.0,0.0,10.97262,26.64,18.74,3.7363453,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-22,30.261,18.011,23.419333,0.0,0.0,0.0,0.0,11.923557,23.759998,19.04,3.8610923,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-23,30.861,19.061,24.229752,0.0,0.0,0.0,0.0,11.681987,27.359999,17.25,3.7338462,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-24,29.761,21.111,24.835999,0.0,0.0,0.0,0.0,13.18308,34.2,13.94,3.2848477,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-25,30.111,20.961,24.940165,0.1,0.1,0.0,0.0,17.782686,42.48,11.12,2.8962297,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-26,32.111,22.411001,26.456833,0.0,0.0,0.0,0.0,21.26744,54.0,15.0,4.0918045,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-27,32.661,22.861,26.85475,0.3,0.3,0.0,0.0,18.35647,45.0,15.49,3.773508,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-28,28.761,22.011,24.621416,1.2,1.2,0.0,0.0,15.141414,37.44,14.25,3.1474352,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-29,28.211,19.111,23.279749,0.0,0.0,0.0,0.0,14.05845,37.44,19.12,4.4606028,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-30,28.811,16.611,22.10058,0.0,0.0,0.0,0.0,14.345898,37.8,19.4,4.372504,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-01-31,31.661001,17.311,23.785997,0.0,0.0,0.0,0.0,14.869351,33.12,17.36,3.9261649,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-01,26.711,18.711,21.94433,0.0,0.0,0.0,0.0,18.079027,43.56,18.37,4.135127,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-02,24.261,15.311001,19.633917,0.0,0.0,0.0,0.0,14.417988,35.28,14.23,3.607054,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-03,25.011,12.511001,18.379751,0.0,0.0,0.0,0.0,12.768586,25.56,19.65,3.7632973,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-04,28.911001,13.961,21.115168,0.0,0.0,0.0,0.0,13.783817,30.960001,20.65,4.466562,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-05,31.061,17.661001,23.908915,0.0,0.0,0.0,0.0,16.79314,42.48,20.84,4.932096,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-06,33.510998,20.411001,26.127663,0.0,0.0,0.0,0.0,16.766108,43.199997,17.53,4.179004,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-07,33.510998,20.911001,26.023499,0.0,0.0,0.0,0.0,16.203999,36.719997,18.72,4.035608,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-08,33.310997,22.161001,26.79642,0.0,0.0,0.0,0.0,15.7908325,41.039997,18.69,4.907813,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-09,31.161001,21.461,25.585999,0.6,0.6,0.0,0.0,17.595861,45.719997,16.03,3.949383,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-10,32.461,21.561,26.031836,0.4,0.4,0.0,0.0,15.315873,40.32,18.69,4.6207623,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-11,30.561,20.761,25.00058,0.3,0.3,0.0,0.0,21.096123,56.519997,17.23,4.0254126,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-12,31.611,21.961,26.419329,0.1,0.1,0.0,0.0,21.533897,52.199997,17.43,4.5195694,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-13,30.861,20.961,24.396416,12.4,12.4,0.0,0.0,13.32,34.2,14.79,3.164774,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-14,31.461,19.461,24.815168,0.0,0.0,0.0,0.0,12.313894,25.199999,18.45,4.085684,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-15,33.911,21.661001,25.794334,0.5,0.5,0.0,0.0,20.056877,53.28,17.51,4.2313533,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-16,28.511,19.911001,23.35058,0.4,0.4,0.0,0.0,16.746773,43.56,15.07,3.3951054,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-17,34.711,19.011,25.946417,0.0,0.0,0.0,0.0,21.028437,47.88,19.69,5.288983,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-18,34.961,23.311,27.946419,0.1,0.1,0.0,0.0,19.386593,46.44,18.78,4.966246,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-19,24.361,19.311,21.946419,0.1,0.1,0.0,0.0,24.149532,56.88,8.04,2.1522224,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-20,23.961,19.111,20.94225,0.0,0.0,0.0,0.0,13.627795,33.839996,8.64,2.657335,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-21,31.111,17.361,22.998497,0.0,0.0,0.0,0.0,13.551501,30.599998,18.69,4.2248883,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-22,32.661,17.211,23.956833,0.0,0.0,0.0,0.0,17.283749,39.6,22.14,4.874147,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-23,30.261,20.211,24.756834,0.6,0.6,0.0,0.0,12.7279215,30.239998,17.2,3.9422908,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-24,32.060997,19.961,25.596418,0.0,0.0,0.0,0.0,12.879752,31.319998,19.18,4.686942,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-25,32.510998,19.811,25.677666,0.0,0.0,0.0,0.0,13.979871,36.0,19.65,4.9931426,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-26,33.560997,20.111,26.221415,0.0,0.0,0.0,0.0,15.484185,40.32,21.92,5.650629,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-27,33.510998,21.611,26.848501,0.0,0.0,0.0,0.0,19.453327,48.6,19.98,5.4625273,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-02-28,32.161,22.611,26.894335,0.1,0.1,0.0,0.0,21.758419,51.48,15.8,4.7923613,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-01,34.961,22.061,27.223501,0.1,0.1,0.0,0.0,24.162947,56.88,18.41,5.454459,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-02,33.961,21.611,27.044334,0.0,0.0,0.0,0.0,16.267857,39.239998,19.66,4.8908076,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-03,33.411,22.361,26.565168,0.2,0.2,0.0,0.0,16.299694,40.32,16.13,3.7904136,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-04,29.661001,21.611,25.100584,1.8000001,1.8000001,0.0,0.0,11.879999,29.519999,16.46,3.6476233,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-05,32.661,19.861,26.146416,0.1,0.1,0.0,0.0,12.768586,28.08,16.66,4.04292,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-06,30.161001,21.311,24.698502,1.5000001,1.5000001,0.0,0.0,16.73516,42.48,16.02,3.6355853,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-07,30.661001,20.161001,24.056831,0.0,0.0,0.0,0.0,18.448023,48.239998,21.0,5.073885,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-08,29.511,18.511,23.327667,0.0,0.0,0.0,0.0,16.595179,38.519997,18.95,4.8094945,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
2021-03-09,30.211,18.211,24.133917,0.0,0.0,0.0,0.0,15.778516,39.96,17.79,4.8748174,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,historical
