date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2021-01-01,15.658999,1.809,7.615249,0.0,0.0,0.0,0.0,43.416954,90.72,18.48,4.614018,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-02,15.759,-0.741,6.4944158,0.0,0.0,0.0,0.0,19.826164,53.28,19.23,3.4700406,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-03,17.109001,4.759,9.659,0.0,0.0,0.0,0.0,24.312662,53.28,16.05,4.263222,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-04,18.359001,1.559,10.194417,0.0,0.0,0.0,0.0,14.707222,25.56,19.5,3.979681,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-05,18.659,1.859,10.371501,0.0,0.0,0.0,0.0,19.453327,43.199997,19.1,4.4197617,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-06,17.609001,5.659,10.665251,0.0,0.0,0.0,0.0,19.164719,43.56,18.71,4.125928,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-07,15.759,3.4589999,9.427751,0.0,0.0,0.0,0.0,13.039754,31.319998,16.09,3.231844,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-08,16.959002,4.8589997,10.60275,1.1,1.1,0.0,0.0,11.592894,28.08,17.39,3.4502292,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-09,14.408999,5.509,9.273583,0.8000001,0.8000001,0.0,0.0,33.043606,74.88,15.06,2.8149512,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-10,15.459001,4.059,8.652749,0.1,0.1,0.0,0.0,24.26998,51.839996,18.92,3.2996693,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-11,16.059,1.4090002,8.948583,0.0,0.0,0.0,0.0,25.72174,55.8,19.14,3.802194,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-12,15.908999,2.1590002,8.056916,0.0,0.0,0.0,0.0,34.858707,74.520004,19.63,3.9968557,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-13,15.308999,-1.541,6.0965,0.0,0.0,0.0,0.0,16.965895,37.44,17.66,3.149712,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-14,17.759,1.559,9.379834,0.0,0.0,0.0,0.0,20.150354,45.719997,19.77,4.2543144,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-15,17.209002,3.4589999,10.450666,0.0,0.0,0.0,0.0,10.30883,21.96,19.09,3.8811781,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-16,17.759,2.809,11.425667,0.0,0.0,0.0,0.0,24.149532,51.12,18.38,4.0726495,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-17,17.509,5.309,10.681916,0.0,0.0,0.0,0.0,19.770523,44.28,19.99,4.169369,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-18,18.759,3.8090003,11.084,0.0,0.0,0.0,0.0,22.104116,48.96,20.21,4.7674828,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-19,19.509,7.159,12.444416,0.6,0.6,0.0,0.0,14.565548,35.28,16.59,3.399254,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-20,16.509,6.809,10.808998,0.0,0.0,0.0,0.0,18.59845,39.239998,9.88,1.9038796,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-21,19.009,6.7089996,12.425667,0.0,0.0,0.0,0.0,27.217524,57.96,16.71,3.4455857,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-22,20.759,7.2089996,13.246499,0.0,0.0,0.0,0.0,27.666182,58.679996,19.81,4.401359,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-23,21.059,8.658999,14.1360855,0.0,0.0,0.0,0.0,24.216522,52.92,20.03,5.0375013,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-24,20.059,8.109,13.338165,0.0,0.0,0.0,0.0,28.583183,61.199997,19.4,5.0545716,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-25,17.959002,6.909,11.900666,0.0,0.0,0.0,0.0,39.738846,84.6,20.34,4.9567566,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-26,18.759,6.759,12.017334,0.0,0.0,0.0,0.0,32.559605,70.2,20.49,4.972945,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-27,21.009,7.259,12.8465,0.0,0.0,0.0,0.0,22.963936,49.68,19.91,4.4608674,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-28,18.409,4.3589997,10.075667,0.0,0.0,0.0,0.0,23.051247,48.239998,19.62,3.4645915,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-29,19.859001,3.1590002,10.846499,0.0,0.0,0.0,0.0,15.281989,32.399998,20.33,3.6671677,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-30,21.509,7.559,14.017334,0.0,0.0,0.0,0.0,15.7908325,35.64,21.02,4.3414297,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-01-31,22.009,7.159,13.811084,0.0,0.0,0.0,0.0,22.725668,48.96,20.84,4.8391976,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-01,18.259,7.059,11.0110855,0.0,0.0,0.0,0.0,22.17144,45.36,19.38,3.6172462,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-02,21.459002,4.2089996,12.444417,0.0,0.0,0.0,0.0,11.609651,28.44,20.47,4.179679,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-03,23.309,7.309,15.504832,0.0,0.0,0.0,0.0,14.154915,30.239998,21.38,4.7635355,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-04,23.609001,9.309,16.002748,0.0,0.0,0.0,0.0,21.42227,45.36,21.9,5.6327043,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-05,23.759,9.009,15.756917,0.0,0.0,0.0,0.0,29.275326,62.639996,21.85,6.540362,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-06,22.459002,8.509,14.529834,0.0,0.0,0.0,0.0,24.079666,54.0,21.97,5.8984656,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-07,21.809,4.7089996,14.19025,0.0,0.0,0.0,0.0,25.233404,55.8,21.74,5.530592,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-08,20.909,7.759,13.792335,0.0,0.0,0.0,0.0,23.358423,50.399998,22.49,5.487088,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-09,21.509,5.3589997,13.554835,0.0,0.0,0.0,0.0,17.429354,38.16,22.32,5.029902,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-10,19.659,7.9589996,13.275668,0.0,0.0,0.0,0.0,25.72174,56.519997,21.17,5.331054,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-11,17.359001,6.159,11.248582,0.0,0.0,0.0,0.0,29.30409,62.639996,23.03,5.3847466,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-12,14.959,3.4090002,8.875668,0.0,0.0,0.0,0.0,20.456745,46.44,22.7,4.1710386,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-13,16.309,3.509,9.042334,0.0,0.0,0.0,0.0,39.206955,83.159996,23.09,5.0054555,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-14,15.908999,2.709,8.354834,0.0,0.0,0.0,0.0,47.631683,99.0,23.7,5.3654284,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-15,17.509,3.7089999,9.798584,0.0,0.0,0.0,0.0,38.96158,89.27999,23.19,5.44942,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-16,17.959002,4.809,10.550666,0.0,0.0,0.0,0.0,42.438793,89.64,23.54,5.4041495,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-17,19.509,4.4589996,11.000667,0.0,0.0,0.0,0.0,38.243114,80.64,23.88,5.8313503,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-18,20.609001,5.4589996,11.831917,0.0,0.0,0.0,0.0,36.2243,78.479996,24.15,5.855035,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-19,18.809,-0.14099997,8.39025,0.0,0.0,0.0,0.0,20.608229,43.56,24.47,4.4146338,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-20,21.959002,2.309,12.256915,0.0,0.0,0.0,0.0,11.966953,27.0,24.74,5.0796194,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-21,22.259,7.809,14.379833,0.0,0.0,0.0,0.0,23.263912,50.399998,23.97,5.514233,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-22,20.659,7.009,13.261082,0.0,0.0,0.0,0.0,19.64558,41.760002,23.97,4.890738,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-23,23.459002,4.309,14.336085,0.0,0.0,0.0,0.0,13.1041975,31.68,23.23,4.628337,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-24,23.859001,8.459,16.317331,0.0,0.0,0.0,0.0,14.934577,35.28,23.58,5.535898,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-25,24.559,8.658999,16.534002,0.0,0.0,0.0,0.0,12.55879,30.239998,23.53,5.4878364,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-26,24.559,11.109,17.411083,0.0,0.0,0.0,0.0,19.586119,43.56,21.5,5.879106,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-27,24.109001,11.359,17.073584,0.0,0.0,0.0,0.0,25.864943,55.44,24.58,6.5600305,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-02-28,23.459002,9.658999,16.031918,0.0,0.0,0.0,0.0,29.522196,63.0,25.0,6.5836368,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-01,24.109001,8.059,16.088165,0.0,0.0,0.0,0.0,15.646544,37.44,24.78,5.6951437,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-02,23.559,10.259,15.900668,0.0,0.0,0.0,0.0,23.893261,52.92,22.74,4.8821006,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-03,24.759,8.408999,16.356916,0.0,0.0,0.0,0.0,16.434305,39.6,25.33,5.838732,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-04,25.259,8.609,17.231918,0.0,0.0,0.0,0.0,18.03237,38.88,24.63,6.210237,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-05,25.609001,10.158999,17.523584,0.0,0.0,0.0,0.0,22.38378,45.719997,24.59,6.34968,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-06,23.509,6.559,13.992333,0.0,0.0,0.0,0.0,18.214718,40.68,21.31,4.7871547,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-07,25.259,7.7089996,15.973584,0.0,0.0,0.0,0.0,26.944744,59.039997,25.71,6.566496,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-08,23.609001,4.159,13.4173355,0.0,0.0,0.0,0.0,15.827721,34.92,25.78,5.2401805,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-09,25.309,5.409,15.386085,0.0,0.0,0.0,0.0,18.345877,40.68,24.29,5.4340153,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-10,25.109001,10.109,17.148584,0.0,0.0,0.0,0.0,19.201874,43.56,24.74,6.062909,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
2021-03-11,24.859001,10.209,17.65692,0.0,0.0,0.0,0.0,13.5515,32.039997,26.41,5.741607,Zacatecas,Norte,22.7709,-102.5832,2025-11-23,historical
