date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,26.1325,9.7325,17.6325,0.0,0.0,0.0,0.0,8.669949,17.28,19.1,3.7310712,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-11-24,26.4825,9.0325,17.42,0.0,0.0,0.0,0.0,11.609651,21.24,18.04,3.7671468,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-11-25,26.4825,8.4325,17.37,0.0,0.0,0.0,0.0,12.429127,22.319998,18.79,4.0183907,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-11-26,26.332499,9.632501,17.4075,0.0,0.0,0.0,0.0,15.827721,34.56,18.5,3.9873135,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-11-27,24.932499,12.382501,17.45125,0.0,0.0,0.0,0.0,16.42247,34.92,17.92,4.0599446,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-11-28,23.2325,9.9325,16.051249,0.0,0.0,0.0,0.0,9.904906,18.359999,18.45,3.5509295,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-11-29,24.7825,12.8325,17.33875,0.0,0.0,0.0,0.0,18.775301,33.839996,15.04,3.4469948,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-11-30,19.8465,6.6825,14.14125,0.0,0.0,0.0,0.0,24.48,23.4,9.91,3.1711316,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-12-01,23.5465,10.6465,16.25275,0.0,0.0,0.0,0.0,21.9718,24.84,18.85,4.4494495,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-12-02,24.0965,11.6465,16.984,0.0,0.0,0.0,0.0,13.363711,56.88,19.08,4.1331177,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-12-03,25.7465,13.046499,18.95275,0.0,0.0,0.0,0.0,14.386494,43.199997,18.25,4.564355,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-12-04,24.8965,13.596499,18.359,0.0,0.0,0.0,0.0,22.91026,21.599998,18.35,4.342922,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-12-05,23.5965,11.096499,16.61525,0.0,0.0,0.0,0.0,26.739542,38.16,18.33,4.6453705,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-12-06,22.4965,11.346499,16.06525,0.0,0.0,0.0,0.0,33.09651,34.56,16.91,4.261257,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
2025-12-07,22.9965,11.096499,16.065248,0.0,0.0,0.0,0.0,13.1041975,43.199997,18.57,3.7662358,Aguascalientes,Bajio,21.8853,-102.2916,2025-11-23,forecast
