date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,21.6035,11.7035,16.591002,0.1,0.1,0.0,0.0,15.03835,26.64,16.79,3.1301394,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-11-24,23.1035,11.5535,16.53875,0.0,0.0,0.0,0.0,23.313995,30.239998,17.1,3.4875157,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-11-25,23.585499,13.0855,17.2105,0.0,0.0,0.0,0.0,17.727943,15.4800005,16.44,3.386526,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-11-26,25.0355,13.4855,18.423,0.0,0.0,0.0,0.0,12.218805,12.24,15.3,3.312192,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-11-27,25.8855,14.6355,19.435497,0.0,0.0,0.0,0.0,15.042659,13.32,12.25,3.0437136,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-11-28,24.8855,15.535501,19.6605,0.0,0.0,0.0,0.0,17.28,12.599999,12.89,3.5111616,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-11-29,24.985498,14.035501,17.99175,0.0,0.0,0.0,0.0,19.06301,19.08,15.36,3.7474961,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-11-30,21.585499,12.6355,15.835501,0.0,0.0,0.0,0.0,21.518847,27.72,17.06,3.3551137,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-12-01,20.4355,13.035501,15.5355,0.0,0.0,0.0,0.0,23.188583,16.56,15.94,3.037763,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-12-02,20.8855,12.035501,15.3355,0.0,0.0,0.0,0.0,17.068707,9.36,8.78,1.9530705,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-12-03,16.9355,10.8855,13.47925,0.0,0.0,0.0,0.0,18.899143,22.319998,6.05,1.47254,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-12-04,21.585499,12.7355,16.1355,0.0,0.0,0.0,0.0,16.904673,19.44,14.79,2.8219228,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-12-05,17.4355,12.9855,14.8105,2.7,0.6,2.1000001,0.0,31.782108,39.96,4.05,1.1715034,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-12-06,16.585499,9.8855,13.048,0.0,0.0,0.0,0.0,18.440998,19.44,16.44,3.1757066,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
2025-12-07,18.2855,9.9855,13.4105,0.0,0.0,0.0,0.0,15.315873,25.919998,16.74,3.3267028,Baja California Sur,Norte,26.0444,-111.6661,2025-11-23,forecast
