date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,20.4935,9.1935,13.968499,0.0,0.0,0.0,0.0,7.5170207,12.959999,13.37,2.209312,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-11-24,21.8935,9.0935,14.787749,0.0,0.0,0.0,0.0,6.696387,9.36,13.04,2.253963,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-11-25,24.5975,16.0975,19.491251,0.0,0.0,0.0,0.0,8.049845,8.64,13.9,3.0322754,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-11-26,25.0975,16.6475,20.178751,0.0,0.0,0.0,0.0,9.255571,9.72,13.2,3.4460108,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-11-27,23.9475,17.2975,20.15375,0.0,0.0,0.0,0.0,7.7043357,7.92,8.1,2.7998393,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-11-28,25.0975,17.1475,20.94125,0.0,0.0,0.0,0.0,7.386582,9.36,13.66,2.893839,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-11-29,23.9475,16.6975,20.1725,0.0,0.0,0.0,0.0,9.346143,68.4,13.28,3.0409698,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-11-30,22.9975,15.8475,19.4225,0.0,0.0,0.0,0.0,24.72495,54.719997,12.43,3.5622337,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-12-01,18.5475,12.7975,17.172499,0.0,0.0,0.0,0.0,38.976547,50.76,12.96,4.449977,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-12-02,12.247499,6.0975,9.453749,0.0,0.0,0.0,0.0,29.68636,7.92,13.44,4.0988836,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-12-03,13.5475,6.1974998,9.278749,0.0,0.0,0.0,0.0,10.739833,6.12,13.59,2.8829193,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-12-04,15.0475,7.6475,11.016251,0.0,0.0,0.0,0.0,17.786331,28.44,13.02,3.126676,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-12-05,14.997499,8.3975,11.05375,0.0,0.0,0.0,0.0,29.17777,52.56,12.03,3.587925,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-12-06,16.3475,7.7974997,11.6975,0.0,0.0,0.0,0.0,12.074766,41.039997,13.36,2.701867,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
2025-12-07,17.0975,8.8475,12.716249,0.0,0.0,0.0,0.0,10.948973,41.760002,12.88,3.135001,Baja California,Norte,32.6519,-115.4683,2025-11-23,forecast
