date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,30.113,18.663,23.34425,0.0,0.0,0.0,0.0,26.712873,48.96,19.38,4.5131483,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-11-24,29.863,18.463001,23.138,0.0,0.0,0.0,0.0,11.440979,21.24,20.11,4.2357883,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-11-25,31.163,17.813,23.844248,0.0,0.0,0.0,0.0,18.58451,34.92,18.82,4.112443,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-11-26,30.113,20.463001,24.58175,0.0,0.0,0.0,0.0,22.657131,41.399998,18.66,4.204177,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-11-27,28.763,20.563,23.70675,0.0,0.0,0.0,0.0,31.262014,61.199997,17.96,4.321121,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-11-28,27.213001,19.963001,22.73175,0.0,0.0,0.0,0.0,21.897945,45.36,15.52,3.7545705,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-11-29,28.463001,18.863,22.7755,0.0,0.0,0.0,0.0,12.324414,25.199999,17.04,3.6278913,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-11-30,29.618,16.963001,22.128626,0.0,0.0,0.0,0.0,7.928177,12.959999,19.49,3.8158255,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-12-01,30.018,18.118,22.943,0.0,0.0,0.0,0.0,7.145796,6.4799995,19.21,3.8252764,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-12-02,31.618,17.868,23.44925,0.0,0.0,0.0,0.0,8.587338,27.72,19.29,3.856931,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-12-03,29.418,19.968,23.286749,0.0,0.0,0.0,0.0,12.984975,27.0,13.33,2.8814921,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-12-04,27.918,17.218,21.505499,0.0,0.0,0.0,0.0,19.914215,10.08,18.29,3.50268,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-12-05,30.468,17.468,22.31175,0.0,0.0,0.0,0.0,10.009036,7.5599995,18.25,3.5378592,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-12-06,29.818,18.418,23.06175,0.0,0.0,0.0,0.0,6.1094027,7.2,17.74,3.5450346,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
2025-12-07,30.918,18.568,23.593,0.0,0.0,0.0,0.0,10.739832,5.04,18.26,3.6868503,Chiapas,Sur,16.7569,-93.1292,2025-11-23,forecast
