date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,25.9065,9.856501,16.994,0.0,0.0,0.0,0.0,31.072817,58.679996,16.62,4.868587,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-11-24,19.9065,5.2565,12.313126,0.0,0.0,0.0,0.0,14.57889,20.16,16.77,3.2271814,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-11-25,20.459501,8.6095,14.07825,0.0,0.0,0.0,0.0,11.298495,10.440001,16.45,3.3760166,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-11-26,20.7595,10.159499,14.5845,0.0,0.0,0.0,0.0,12.181624,15.84,16.15,3.5400748,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-11-27,22.5595,11.5595,16.3095,0.0,0.0,0.0,0.0,16.981165,18.72,13.5,3.2897844,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-11-28,22.0595,13.459499,18.034502,0.0,0.0,0.0,0.0,19.35314,27.359999,6.48,3.1936471,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-11-29,22.959501,9.3095,15.178251,0.0,0.0,0.0,0.0,9.3669195,33.839996,16.0,3.6392395,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-11-30,22.0595,8.8595,14.865749,0.0,0.0,0.0,0.0,24.344624,60.479996,15.19,4.3774996,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-12-01,22.709501,10.959499,15.26575,0.0,0.0,0.0,0.0,45.657597,37.44,13.51,6.328768,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-12-02,20.959501,10.6095,14.45325,0.0,0.0,0.0,0.0,37.427883,19.8,8.77,3.792173,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-12-03,18.2595,8.709499,13.02825,0.0,0.0,0.0,0.0,10.137692,14.04,14.49,2.6256683,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-12-04,19.5595,12.0095,14.6970005,0.0,0.0,0.0,0.0,32.846916,36.719997,5.15,2.9336858,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-12-05,20.0095,10.409499,14.3845,0.0,0.0,0.0,0.0,44.740047,54.719997,8.47,3.6812918,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-12-06,15.209499,6.0595,11.74075,0.0,0.0,0.0,0.0,42.586647,46.44,10.03,4.013059,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
2025-12-07,16.0595,2.4095001,7.9469995,0.0,0.0,0.0,0.0,10.308831,56.16,15.68,2.6845732,Chihuahua,Norte,28.6353,-106.0889,2025-11-23,forecast
