date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,27.5395,18.7895,22.876999,0.0,0.0,0.0,0.0,20.176065,25.199999,13.48,3.3888597,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-11-24,28.4895,17.872,22.762312,0.0,0.0,0.0,0.0,17.399586,21.24,16.43,4.2978373,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-11-25,25.572,15.021999,19.8845,0.0,0.0,0.0,0.0,11.200571,13.32,15.75,3.3915017,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-11-26,19.272001,13.922001,16.82825,0.4,0.2,0.2,0.0,17.31746,29.16,2.36,1.3286779,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-11-27,21.722,14.271999,16.972,0.0,0.0,0.0,0.0,11.113451,18.359999,11.91,2.2837198,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-11-28,25.722,14.422001,18.8845,0.0,0.0,0.0,0.0,11.966954,10.08,13.39,2.6006079,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-11-29,29.372,17.172,21.7845,0.0,0.0,0.0,0.0,13.32,10.799999,15.51,3.7601786,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-11-30,24.722,16.022,19.240751,0.0,0.0,0.0,0.0,12.181624,50.399998,11.27,2.3249283,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-12-01,30.172,13.3220005,20.00325,0.0,0.0,0.0,0.0,23.78453,18.0,16.19,4.580373,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-12-02,30.072,16.222,21.409498,0.0,0.0,0.0,0.0,17.072504,19.08,16.17,5.313616,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-12-03,15.0720005,6.972,10.428251,0.0,0.0,0.0,0.0,21.028437,8.64,11.65,2.9258463,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-12-04,13.922001,6.522,9.2907505,0.0,0.0,0.0,0.0,12.261157,6.12,14.5,2.8084855,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-12-05,13.422001,6.072,9.922,0.0,0.0,0.0,0.0,9.511088,10.799999,9.67,2.1393282,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-12-06,29.172,9.672001,16.20325,0.0,0.0,0.0,0.0,48.171444,24.119999,9.05,3.3597553,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
2025-12-07,22.222,8.372,14.272001,0.0,0.0,0.0,0.0,10.195057,45.719997,15.7,3.032568,Coahuila,Norte,27.0587,-101.7068,2025-11-23,forecast
