date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,32.287502,19.5375,24.65,2.3999999,0.0,2.3,0.0,12.397806,27.0,15.61,3.4671152,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-11-24,31.937498,19.4875,24.487501,0.2,0.0,0.2,0.0,12.10157,27.72,16.39,3.655702,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-11-25,32.237503,19.7375,24.881248,0.0,0.0,0.0,0.0,13.1041975,27.359999,17.15,3.830965,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-11-26,33.537502,18.387499,25.0,0.0,0.0,0.0,0.0,15.281989,32.760002,18.65,4.1054773,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-11-27,33.3875,20.5375,25.825,2.1,0.0,2.1,0.0,13.527572,27.359999,18.22,3.9718502,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-11-28,32.8375,19.6875,25.10625,0.0,0.0,0.0,0.0,13.849477,27.72,18.01,4.073319,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-11-29,31.4375,18.5875,24.23125,0.3,0.0,0.3,0.0,11.620809,24.119999,15.03,3.3833854,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-11-30,30.268002,18.368,23.494064,0.0,0.0,0.0,0.0,8.891343,10.08,17.14,3.5589757,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-12-01,32.018,17.318,22.705502,0.0,0.0,0.0,0.0,11.709688,7.92,18.97,4.2115245,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-12-02,32.518,16.268002,22.186749,0.0,0.0,0.0,0.0,8.669949,6.8399997,18.71,4.030046,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-12-03,32.468002,16.718,22.480503,0.0,0.0,0.0,0.0,11.988594,9.36,19.02,4.404742,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-12-04,30.668001,16.518002,22.06175,0.0,0.0,0.0,0.0,11.988594,7.5599995,18.62,3.8918433,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-12-05,30.568,17.918001,22.493004,0.3,0.0,0.3,0.0,12.984975,7.5599995,18.28,3.806392,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-12-06,29.018002,18.068,21.89925,0.6,0.0,0.6,0.0,14.291592,7.92,16.26,3.404153,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
2025-12-07,31.668001,16.468,22.14925,0.0,0.0,0.0,0.0,8.714677,5.3999996,16.75,3.5676599,Colima,Occidente,19.2433,-103.7244,2025-11-23,forecast
