date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,23.724,8.624,15.961501,0.0,0.0,0.0,0.0,24.408424,43.199997,17.79,4.2812533,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-11-24,23.324001,8.424,14.974001,0.0,0.0,0.0,0.0,23.34455,41.039997,18.68,4.3648686,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-11-25,23.574001,6.074,13.836501,0.0,0.0,0.0,0.0,17.654688,30.960001,19.02,4.218867,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-11-26,19.674002,4.724,12.0865,0.0,0.0,0.0,0.0,13.570615,24.84,16.71,3.271729,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-11-27,20.974,9.124,14.399,0.0,0.0,0.0,0.0,11.27553,22.319998,15.02,2.9371955,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-11-28,22.024,7.824,14.18025,0.0,0.0,0.0,0.0,24.36325,43.56,14.08,3.3004837,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-11-29,20.424002,6.324,12.942749,0.0,0.0,0.0,0.0,25.6233,45.0,17.39,3.8999553,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-11-30,20.616001,6.424,13.325251,0.0,0.0,0.0,0.0,31.942772,42.12,14.09,4.1747255,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-12-01,21.166,8.766001,13.8535,0.0,0.0,0.0,0.0,36.658184,21.24,18.68,5.305234,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-12-02,22.516,8.266,14.197251,0.0,0.0,0.0,0.0,20.808498,15.84,18.26,4.6000977,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-12-03,22.766,10.666,15.89725,0.0,0.0,0.0,0.0,21.175837,11.5199995,17.67,4.04901,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-12-04,23.366001,11.616,16.416,0.0,0.0,0.0,0.0,28.019936,38.519997,17.62,4.9999404,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-12-05,18.966,11.966001,14.64725,0.0,0.0,0.0,0.0,32.55363,52.92,12.42,3.7902772,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-12-06,14.866,11.916,13.2285,0.90000004,0.90000004,0.0,0.0,34.882866,50.399998,5.01,2.3994465,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
2025-12-07,21.066,9.366,13.90975,0.0,0.0,0.0,0.0,25.537172,53.639996,16.42,3.8635135,Durango,Norte,24.0277,-104.6532,2025-11-23,forecast
