date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,21.809,4.309,12.3965,0.0,0.0,0.0,0.0,13.608762,23.4,20.8,3.8187132,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-11-24,21.809,2.9589999,11.634,0.0,0.0,0.0,0.0,15.021105,25.919998,20.11,3.6188939,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-11-25,22.159,3.059,12.365251,0.0,0.0,0.0,0.0,18.03237,33.12,20.59,3.6771493,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-11-26,22.359001,4.3589997,12.540251,0.0,0.0,0.0,0.0,22.545315,42.12,20.5,3.9049041,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-11-27,19.409,1.6090001,10.209,0.0,0.0,0.0,0.0,22.493519,41.039997,20.65,3.658017,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-11-28,19.659,3.809,10.96525,0.0,0.0,0.0,0.0,14.654254,32.399998,19.61,3.4674835,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-11-29,20.159,4.509,11.62775,0.0,0.0,0.0,0.0,14.4,26.28,18.17,3.3456445,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-11-30,18.193499,2.359,10.224313,0.3,0.0,0.3,0.0,15.188415,10.440001,15.19,2.730399,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-12-01,17.8435,7.7935,12.01225,0.0,0.0,0.0,0.0,7.653705,12.959999,14.9,2.647343,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-12-02,19.5935,6.8434997,12.42475,0.0,0.0,0.0,0.0,7.2359104,22.319998,18.04,3.171924,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-12-03,19.0935,8.3435,13.13725,0.0,0.0,0.0,0.0,10.086427,19.08,16.04,2.9493766,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-12-04,17.193499,8.0435,11.7560005,2.6999998,0.0,2.6999998,0.0,8.78872,11.5199995,14.6,2.493114,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-12-05,18.793499,6.8434997,11.612249,0.0,0.0,0.0,0.0,13.979871,15.84,19.43,3.2655272,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-12-06,18.293499,6.1935,10.8810005,0.0,0.0,0.0,0.0,13.513193,16.199999,19.35,3.248543,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
2025-12-07,20.1435,5.8935,11.59975,0.0,0.0,0.0,0.0,7.208994,17.28,19.5,3.3877347,Estado de Mexico,Centro,19.3569,-99.6561,2025-11-23,forecast
