date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,26.3595,8.5095005,17.8345,0.0,0.0,0.0,0.0,7.289445,15.119999,18.95,3.6665606,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-11-24,27.0595,8.5595,17.66575,0.0,0.0,0.0,0.0,10.464798,19.44,19.68,3.9587214,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-11-25,27.2095,9.7095,17.872,0.0,0.0,0.0,0.0,8.942214,17.28,19.38,3.9394636,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-11-26,27.7595,11.2595005,18.56575,0.0,0.0,0.0,0.0,26.807312,46.8,18.82,4.49246,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-11-27,25.4095,9.6595,16.77825,0.0,0.0,0.0,0.0,22.79684,41.039997,18.63,4.1582284,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-11-28,24.3595,11.1595,16.946999,0.0,0.0,0.0,0.0,14.618837,30.239998,18.75,3.7450194,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-11-29,25.1595,8.4595,16.290749,0.0,0.0,0.0,0.0,18.129137,32.760002,17.01,3.6395512,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-11-30,22.746,8.2595,15.451062,0.0,0.0,0.0,0.0,25.420181,26.64,15.24,4.0602245,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-12-01,23.146,9.496,15.470999,0.0,0.0,0.0,0.0,21.129883,25.919998,18.75,4.1550803,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-12-02,23.196,8.996,15.3085,0.0,0.0,0.0,0.0,13.779114,38.519997,18.94,3.7710311,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-12-03,24.396,11.546,16.83975,0.0,0.0,0.0,0.0,17.25373,28.44,18.22,4.208497,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-12-04,24.196,10.146,16.477251,0.0,0.0,0.0,0.0,16.323528,15.84,18.44,3.7196264,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-12-05,23.546,9.746,15.564751,0.0,0.0,0.0,0.0,18.58451,36.719997,18.66,3.8838093,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-12-06,22.646,7.746,14.12725,0.0,0.0,0.0,0.0,28.954834,34.92,18.67,4.037549,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
2025-12-07,22.296,8.446,14.90225,0.0,0.0,0.0,0.0,16.981165,29.88,18.39,3.6000674,Guanajuato,Bajio,21.019,-101.2574,2025-11-23,forecast
