date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,20.493,7.493,13.36175,0.0,0.0,0.0,0.0,15.124284,30.599998,19.44,3.4101233,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-11-24,21.743,7.493,13.6555,0.0,0.0,0.0,0.0,17.477621,34.56,20.63,3.8306966,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-11-25,22.493,8.193,14.636749,0.0,0.0,0.0,0.0,17.072504,33.839996,20.41,4.126288,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-11-26,19.793,6.993,12.618,0.0,0.0,0.0,0.0,21.42227,42.839996,20.25,3.5172198,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-11-27,16.692999,6.543,11.2805,0.0,0.0,0.0,0.0,18.723461,36.36,14.14,2.4188738,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-11-28,16.643,7.643,11.493,0.0,0.0,0.0,0.0,12.738099,31.319998,11.61,2.0693007,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-11-29,20.442999,7.243,12.905499,0.0,0.0,0.0,0.0,19.681828,36.36,18.24,3.3873343,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-11-30,21.2395,7.593,14.503312,0.6,0.3,0.3,0.0,9.686609,17.28,15.16,3.0271223,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-12-01,20.4895,12.8395,16.452,0.3,0.0,0.3,0.0,11.988594,14.759999,15.78,3.1412444,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-12-02,20.7895,12.5395,15.902,0.0,0.0,0.0,0.0,18.671474,33.839996,16.83,3.2359703,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-12-03,18.339499,11.6895,14.3395,0.0,0.0,0.0,0.0,15.281989,17.64,16.87,3.1012185,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-12-04,20.9895,10.5895,15.108251,1.5,0.0,1.5,0.0,12.599998,12.24,18.18,3.3360898,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-12-05,21.689499,12.2395,16.33325,0.3,0.0,0.3,0.0,15.7908325,25.199999,19.43,3.759616,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-12-06,21.339499,11.5895,15.845749,0.0,0.0,0.0,0.0,17.22742,20.519999,19.49,4.1121893,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
2025-12-07,21.8895,11.7395,15.33325,0.0,0.0,0.0,0.0,12.979984,21.24,19.41,3.6774793,Hidalgo,Centro,20.091,-98.7624,2025-11-23,forecast
