date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,25.9835,14.5335,19.839748,0.0,0.0,0.0,0.0,10.594036,33.12,19.29,3.8101764,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-11-24,25.8335,13.5835,19.1085,0.0,0.0,0.0,0.0,10.308831,37.44,19.01,3.9065032,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-11-25,26.1335,12.9835005,19.01475,0.0,0.0,0.0,0.0,9.346143,29.16,18.54,3.8155668,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-11-26,27.1335,14.6335,20.0585,0.0,0.0,0.0,0.0,9.114471,28.8,18.95,3.884618,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-11-27,25.3335,14.8335,19.270998,0.0,0.0,0.0,0.0,15.84409,55.8,18.86,4.2779727,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-11-28,24.5835,13.7835,18.7335,0.0,0.0,0.0,0.0,14.759999,66.96,18.68,4.0980654,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-11-29,25.6335,14.0835,19.0085,0.0,0.0,0.0,0.0,13.661038,41.399998,17.29,3.8380961,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-11-30,23.7145,13.514501,17.602875,0.0,0.0,0.0,0.0,16.323528,23.4,13.02,3.1235325,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-12-01,25.6145,10.9645,17.4895,0.0,0.0,0.0,0.0,15.188415,12.24,19.22,4.0105867,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-12-02,25.9645,11.064501,17.445751,0.0,0.0,0.0,0.0,10.30883,8.64,19.34,3.9325109,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-12-03,27.414501,11.3645,18.364502,0.0,0.0,0.0,0.0,6.0347,16.919998,19.0,3.870009,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-12-04,27.0145,13.014501,19.04575,0.0,0.0,0.0,0.0,14.512064,10.440001,18.77,4.1949043,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-12-05,25.7645,11.814501,17.93325,0.0,0.0,0.0,0.0,14.081478,32.039997,18.7,4.035449,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-12-06,23.8645,12.4145,17.420752,0.0,0.0,0.0,0.0,22.657131,26.64,17.47,3.8951757,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
2025-12-07,25.0645,11.064501,17.0895,0.0,0.0,0.0,0.0,11.525623,27.72,18.33,3.6832612,Jalisco,Occidente,20.6597,-103.3496,2025-11-23,forecast
