date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,19.9055,8.6055,13.74925,0.0,0.0,0.0,0.0,12.10157,36.719997,20.37,3.5228097,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-11-24,20.1555,9.1055,14.011749,0.0,0.0,0.0,0.0,9.449572,29.519999,18.18,3.2354972,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-11-25,19.9055,8.2055,13.53675,0.0,0.0,0.0,0.0,7.2,23.4,15.13,2.6642485,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-11-26,19.7555,10.0055,14.0055,0.0,0.0,0.0,0.0,10.00256,35.64,16.59,3.0267684,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-11-27,18.4555,7.1555,12.630501,0.0,0.0,0.0,0.0,16.641972,64.079994,19.85,3.5166638,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-11-28,17.8555,6.5555,11.924251,0.0,0.0,0.0,0.0,10.30883,32.760002,16.04,2.7833645,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-11-29,16.3055,7.5555,12.17425,0.0,0.0,0.0,0.0,11.753877,33.839996,12.56,2.3075187,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-11-30,19.984001,7.9055,13.235812,0.0,0.0,0.0,0.0,11.013882,25.919998,17.44,3.0003338,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-12-01,19.484001,9.584,13.602751,0.0,0.0,0.0,0.0,12.758432,7.2,19.25,3.3793442,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-12-02,21.534,9.434,14.27775,0.0,0.0,0.0,0.0,11.841756,9.36,19.21,3.4520514,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-12-03,22.134,11.084,15.258999,0.0,0.0,0.0,0.0,11.770403,10.08,18.73,3.6049585,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-12-04,19.934,10.634,14.090251,0.0,0.0,0.0,0.0,13.684735,7.2,18.88,3.1734939,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-12-05,19.484001,8.984,13.227751,0.0,0.0,0.0,0.0,12.245293,11.159999,19.38,3.3478532,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-12-06,18.434,8.484,12.346499,0.0,0.0,0.0,0.0,14.039999,9.72,18.52,3.1480343,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
2025-12-07,20.784,8.834,13.64025,0.0,0.0,0.0,0.0,11.874544,10.440001,18.47,3.285953,Michoacan,Occidente,19.5665,-101.7068,2025-11-23,forecast
