date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,30.95,15.45,22.56875,0.0,0.0,0.0,0.0,9.511088,20.880001,20.27,4.630286,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-11-24,31.9,13.5,22.69375,0.0,0.0,0.0,0.0,10.028439,21.24,20.37,4.544093,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-11-25,32.35,15.55,23.793749,0.0,0.0,0.0,0.0,9.826088,19.08,18.79,4.2489433,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-11-26,32.8,15.8,23.975002,0.0,0.0,0.0,0.0,8.534353,19.44,19.76,4.44246,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-11-27,31.45,15.15,23.487501,0.0,0.0,0.0,0.0,11.792404,24.48,20.09,4.5283217,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-11-28,30.1,13.85,21.525,0.0,0.0,0.0,0.0,12.43434,25.56,19.64,4.722549,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-11-29,30.25,13.05,21.1125,0.0,0.0,0.0,0.0,8.534353,17.28,19.19,4.146441,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-11-30,30.1155,16.5,22.203438,0.0,0.0,0.0,0.0,8.287822,15.119999,15.31,3.4255383,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-12-01,29.515501,15.6155,21.3155,0.3,0.0,0.3,0.0,4.1046314,6.4799995,14.87,3.0225675,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-12-02,31.3655,15.915501,22.459251,0.0,0.0,0.0,0.0,5.95906,7.5599995,18.26,3.697994,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-12-03,32.1655,16.3655,22.95925,0.0,0.0,0.0,0.0,5.0142193,6.12,18.14,3.7790797,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-12-04,30.6155,17.265501,23.13425,0.0,0.0,0.0,0.0,5.04,4.68,17.14,3.5059943,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-12-05,30.7155,16.4155,22.52175,0.0,0.0,0.0,0.0,4.5536795,9.36,18.18,3.6209478,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-12-06,30.765501,15.7655,22.0655,0.0,0.0,0.0,0.0,3.6179552,5.04,18.27,3.5318818,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
2025-12-07,30.7155,15.0155,21.453001,0.0,0.0,0.0,0.0,5.3999996,6.4799995,18.44,3.7528653,Morelos,Centro,18.6813,-99.1013,2025-11-23,forecast
