date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,30.876,20.976,24.744747,0.0,0.0,0.0,0.0,22.218153,40.32,9.29,2.9537132,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-11-24,32.226,19.026,24.641,0.1,0.0,0.1,0.0,16.039202,24.119999,16.27,3.8953922,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-11-25,29.346,19.896,23.971,1.3,0.0,1.3,0.0,14.154915,14.4,12.99,3.2341492,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-11-26,25.946,17.446,22.4085,23.7,2.6999998,21.0,0.0,18.532135,18.359999,10.22,2.3172727,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-11-27,18.696,17.446,18.03975,1.3000001,1.3000001,0.0,0.0,8.557102,25.56,1.15,0.5347004,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-11-28,25.196,17.946,20.6585,0.0,0.0,0.0,0.0,14.904173,29.16,7.85,1.9233311,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-11-29,28.996,17.296,22.127249,0.0,0.0,0.0,0.0,11.928989,6.4799995,14.62,3.001814,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-11-30,27.196,19.296,22.56475,0.0,0.0,0.0,0.0,9.227524,13.32,11.15,2.4395897,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-12-01,29.446,17.696,22.6585,0.0,0.0,0.0,0.0,8.825508,17.28,16.14,3.2984838,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-12-02,33.096,17.796,23.696001,0.0,0.0,0.0,0.0,13.797912,18.72,16.42,3.610175,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-12-03,21.196,10.146,13.896001,0.0,0.0,0.0,0.0,36.424103,6.12,2.87,1.8349489,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-12-04,14.946,8.446,11.33975,0.0,0.0,0.0,0.0,14.471821,4.68,11.89,2.5279202,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-12-05,16.396,6.896,11.046,0.0,0.0,0.0,0.0,18.214718,11.879999,13.51,2.4331515,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-12-06,24.446,11.896,17.0335,0.0,0.0,0.0,0.0,9.511088,8.64,13.3,2.5421364,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
2025-12-07,21.746,12.746,17.08975,0.0,0.0,0.0,0.0,29.30409,9.0,15.74,3.6772418,Nuevo Leon,Norte,25.5922,-99.9962,2025-11-23,forecast
