date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,26.133,9.433,16.776749,0.0,0.0,0.0,0.0,16.954432,28.8,21.53,4.192712,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-11-24,27.033,8.083,16.833,0.0,0.0,0.0,0.0,12.218805,21.599998,21.66,4.2385635,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-11-25,28.033,9.633,18.326752,0.0,0.0,0.0,0.0,14.565548,25.199999,19.86,4.2612653,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-11-26,27.833,11.883,18.920502,0.0,0.0,0.0,0.0,13.849476,30.239998,20.57,4.427484,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-11-27,25.682999,14.383,19.145498,0.0,0.0,0.0,0.0,19.839235,35.64,19.65,4.3136163,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-11-28,18.133,12.483,16.50175,0.0,0.0,0.0,0.0,22.406927,38.16,8.45,2.569402,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-11-29,26.932999,9.033,17.483,0.0,0.0,0.0,0.0,9.826088,17.28,20.44,3.9990392,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-11-30,25.5935,9.733,17.439562,0.0,0.0,0.0,0.0,9.3876505,14.759999,15.85,3.1544886,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-12-01,25.943499,12.6435,18.09975,0.0,0.0,0.0,0.0,8.39657,7.5599995,19.14,3.636875,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-12-02,27.2435,12.5435,18.73725,0.6,0.0,0.6,0.0,11.988594,19.08,19.9,3.933996,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-12-03,26.2435,13.3935,18.8935,0.0,0.0,0.0,0.0,14.512064,16.919998,19.81,3.9611604,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-12-04,24.9935,11.1435,17.16225,0.0,0.0,0.0,0.0,13.397612,10.440001,19.79,3.7786088,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-12-05,25.443499,11.5935,17.668499,0.0,0.0,0.0,0.0,13.281023,14.4,18.61,3.6553407,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-12-06,25.943499,11.8935,17.6435,0.0,0.0,0.0,0.0,11.159999,8.64,20.09,3.9688196,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
2025-12-07,27.8935,10.4435005,18.012249,0.0,0.0,0.0,0.0,12.245293,7.2,20.47,4.179722,Oaxaca,Sur,17.0732,-96.7266,2025-11-23,forecast
