date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,23.967001,10.566999,16.542,0.0,0.0,0.0,0.0,15.986595,38.519997,19.34,3.8139794,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-11-24,24.067001,8.167,16.192,0.0,0.0,0.0,0.0,13.896187,34.2,19.73,3.7452228,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-11-25,25.017,10.266999,17.13575,0.0,0.0,0.0,0.0,9.021574,27.0,19.52,3.9176192,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-11-26,24.717001,10.316999,16.83575,0.0,0.0,0.0,0.0,19.05281,48.239998,19.13,4.1480093,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-11-27,21.867,10.967,15.1295,0.0,0.0,0.0,0.0,19.914217,48.96,16.42,3.5032701,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-11-28,21.317001,11.016999,14.942,0.0,0.0,0.0,0.0,19.852295,49.68,17.7,3.4627988,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-11-29,22.517,6.867,15.092,0.0,0.0,0.0,0.0,17.731598,41.760002,17.83,3.4995213,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-11-30,24.457,9.617,17.33575,0.0,0.0,0.0,0.0,19.852295,18.72,13.39,3.681047,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-12-01,25.157,13.107,18.16325,0.0,0.0,0.0,0.0,18.35647,30.960001,18.92,4.4938827,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-12-02,24.557,11.757,17.65075,0.0,0.0,0.0,0.0,9.422101,37.8,18.95,3.8152037,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-12-03,25.007,14.057,19.20075,0.0,0.0,0.0,0.0,22.253124,35.64,18.14,4.4392323,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-12-04,24.507,13.557,18.25075,0.0,0.0,0.0,0.0,23.068108,24.84,16.62,3.7293437,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-12-05,25.607,11.757,17.57575,0.0,0.0,0.0,0.0,18.626305,28.8,18.85,4.247005,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-12-06,24.657,10.707,16.47575,0.0,0.0,0.0,0.0,26.407907,24.84,17.93,4.1916428,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
2025-12-07,24.807,11.307,17.200748,0.0,0.0,0.0,0.0,8.089993,25.919998,18.43,3.6881933,Queretaro,Bajio,20.5888,-100.3899,2025-11-23,forecast
