date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,30.915,19.765001,24.783752,0.0,0.0,0.0,0.0,8.209263,23.4,17.33,3.6620312,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-11-24,30.465,21.815,25.565002,0.0,0.0,0.0,0.0,10.661107,28.08,13.06,3.0210495,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-11-25,30.765001,22.315,25.715,0.70000005,0.0,0.6,0.0,11.298495,36.36,13.65,2.9957354,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-11-26,32.114998,22.865,26.340002,0.6,0.0,0.6,0.0,11.440979,29.16,15.9,3.5102935,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-11-27,30.915,21.715,25.265003,1.5,0.0,1.5,0.0,7.491114,21.24,14.6,3.0760221,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-11-28,29.315,21.165,24.140001,5.3999996,0.0,5.3999996,0.0,9.178235,28.44,12.91,2.7108722,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-11-29,27.815,20.865,23.839998,0.3,0.0,0.3,0.0,9.387651,27.72,12.01,2.47199,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-11-30,31.815,21.415,25.0025,0.0,0.0,0.0,0.0,11.246759,29.519999,18.49,3.9571636,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-12-01,27.765001,21.215,23.94625,1.8,0.0,1.8,0.0,8.854829,29.88,16.37,3.0097811,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-12-02,29.565,21.815,23.58375,2.4,1.2,1.2,0.0,13.896187,45.719997,10.72,2.1496172,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-12-03,31.165,21.415,24.82125,8.1,7.4999995,0.6,0.0,19.44,65.88,10.3,2.680894,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-12-04,30.315,20.965,24.833752,0.0,0.0,0.0,0.0,8.557102,35.64,11.13,2.5426369,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-12-05,31.915,19.165,24.427502,0.0,0.0,0.0,0.0,5.2416787,20.519999,18.0,3.6032867,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-12-06,30.765001,19.465,23.858751,0.0,0.0,0.0,0.0,7.42159,27.0,15.42,3.1086571,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
2025-12-07,31.715,21.065,25.09,0.0,0.0,0.0,0.0,10.195057,30.239998,17.08,3.6393123,Quintana Roo,Peninsula,19.1817,-88.4791,2025-11-23,forecast
