date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,22.0445,10.244499,15.01325,0.0,0.0,0.0,0.0,14.685176,29.16,18.21,3.3168252,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-11-24,24.7445,9.3945,16.419498,0.0,0.0,0.0,0.0,11.043261,23.039999,18.72,3.6602972,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-11-25,24.2945,12.4445,17.757,0.0,0.0,0.0,0.0,14.759999,29.88,17.14,3.4638379,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-11-26,20.144499,10.494499,14.231999,0.0,0.0,0.0,0.0,22.461807,44.28,17.7,3.1478713,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-11-27,18.5945,9.3945,12.91325,0.0,0.0,0.0,0.0,24.1388,48.239998,14.94,2.5662565,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-11-28,18.1945,8.2445,12.044499,0.0,0.0,0.0,0.0,13.324863,27.359999,15.7,2.7013817,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-11-29,22.0445,8.044499,15.36325,0.0,0.0,0.0,0.0,20.633371,41.760002,15.37,3.580939,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-11-30,23.1695,11.5945,16.747625,0.0,0.0,0.0,0.0,35.29102,30.960001,14.59,4.7559443,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-12-01,24.5695,11.3195,17.48825,0.0,0.0,0.0,0.0,23.277834,19.08,18.51,5.2378035,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-12-02,24.8195,10.4695,16.982,0.0,0.0,0.0,0.0,15.683774,39.6,18.49,4.16258,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-12-03,19.969501,11.4695,15.257,0.0,0.0,0.0,0.0,29.275326,32.399998,16.0,3.0312564,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-12-04,25.6695,12.169499,16.694502,0.0,0.0,0.0,0.0,18.218275,19.08,16.99,3.7062044,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-12-05,25.5195,11.4695,17.544498,0.0,0.0,0.0,0.0,25.199997,39.96,17.9,4.1867366,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-12-06,24.219501,11.2695,17.2195,0.0,0.0,0.0,0.0,35.16225,42.48,17.33,5.0584083,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
2025-12-07,23.469501,10.169499,16.519499,0.0,0.0,0.0,0.0,29.5551,41.760002,18.06,4.358049,San Luis Potosi,Centro-Norte,22.1565,-100.9855,2025-11-23,forecast
