date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,22.117,12.766999,16.69825,0.0,0.0,0.0,0.0,7.7879906,13.679999,13.84,2.502144,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-11-24,24.917,11.717,17.719936,0.0,0.0,0.0,0.0,10.30883,21.599998,15.87,3.3061862,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-11-25,26.4405,16.8405,21.277998,0.0,0.0,0.0,0.0,8.287822,12.599999,15.76,3.7243626,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-11-26,28.6905,17.9905,22.627998,0.0,0.0,0.0,0.0,11.525623,17.28,15.35,4.166522,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-11-27,26.2405,19.0905,22.434248,0.0,0.0,0.0,0.0,11.27553,8.28,10.14,2.7280571,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-11-28,25.6905,17.9405,21.615498,0.0,0.0,0.0,0.0,9.114471,6.12,14.89,3.3643517,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-11-29,25.5905,17.790499,21.22175,0.0,0.0,0.0,0.0,14.512064,36.0,14.48,3.8270776,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-11-30,24.2405,17.2405,19.696749,0.0,0.0,0.0,0.0,29.257614,38.16,14.73,4.025919,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-12-01,22.290499,15.590501,18.877998,0.0,0.0,0.0,0.0,37.76055,20.16,14.4,4.209884,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-12-02,19.3905,16.9905,18.33425,0.3,0.0,0.3,0.0,24.344624,18.359999,2.86,2.3060687,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-12-03,17.0905,13.6405,15.8967495,0.0,0.0,0.0,0.0,18.806337,18.0,7.42,2.693134,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-12-04,18.9905,12.1905,15.17175,0.0,0.0,0.0,0.0,13.138765,22.319998,11.53,2.9998631,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-12-05,16.4405,11.4405,14.70925,7.8000007,6.3,1.5,0.0,36.792282,19.44,3.09,1.2882887,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-12-06,15.840501,10.7405,12.9592495,0.0,0.0,0.0,0.0,11.966953,24.119999,14.88,2.715753,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
2025-12-07,18.4905,11.4905,14.5155,0.0,0.0,0.0,0.0,9.449572,30.960001,15.09,2.7633839,Sonora,Norte,29.0729,-110.9559,2025-11-23,forecast
