date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,32.836998,21.737,26.186998,0.0,0.0,0.0,0.0,21.817902,42.839996,15.41,4.1185455,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-11-24,33.487,21.587,26.08075,0.0,0.0,0.0,0.0,18.709612,37.44,16.5,4.4488754,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-11-25,31.786999,19.637,25.193249,0.0,0.0,0.0,0.0,14.417988,28.08,14.97,3.4273584,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-11-26,24.937,19.786999,22.887,3.0000002,0.0,3.0000002,0.0,19.376562,39.239998,8.5,2.1401057,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-11-27,23.137,18.687,20.49325,0.0,0.0,0.0,0.0,11.592895,21.599998,6.28,1.8376548,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-11-28,24.387,18.687,20.49325,0.0,0.0,0.0,0.0,16.610792,35.28,6.2,1.8629562,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-11-29,29.937,18.137,22.837,0.0,0.0,0.0,0.0,19.592731,39.239998,16.3,3.9690545,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-11-30,28.8835,16.387,22.316061,0.0,0.0,0.0,0.0,13.708391,31.68,10.02,2.4807851,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-12-01,33.983498,19.9835,24.9585,0.0,0.0,0.0,0.0,24.850431,27.359999,15.67,4.240985,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-12-02,33.4335,20.033499,25.296,0.0,0.0,0.0,0.0,16.23596,38.88,16.2,3.9947755,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-12-03,22.3335,11.6835,15.258499,0.0,0.0,0.0,0.0,34.76377,19.44,1.54,1.4981222,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-12-04,15.9335,11.5835,13.18975,0.0,0.0,0.0,0.0,11.525623,25.199999,6.93,2.1955113,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-12-05,19.533499,13.0335,15.57725,0.0,0.0,0.0,0.0,15.856356,32.760002,8.46,1.7465624,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-12-06,30.183498,15.2335005,21.37725,0.0,0.0,0.0,0.0,25.60053,32.039997,16.0,3.946634,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
2025-12-07,22.7335,14.9335,19.245998,0.0,0.0,0.0,0.0,31.278593,34.56,15.11,3.9227798,Tamaulipas,Norte,24.2669,-98.8363,2025-11-23,forecast
