date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,28.963001,21.363,24.788,0.0,0.0,0.0,0.0,15.463246,25.56,17.47,3.388501,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-11-24,29.663,20.563,24.675499,0.0,0.0,0.0,0.0,14.561099,24.119999,18.4,3.6708643,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-11-25,30.463001,20.113,24.9505,0.0,0.0,0.0,0.0,14.081477,23.039999,18.64,3.745839,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-11-26,28.463001,22.613,25.43175,0.3,0.0,0.3,0.0,34.763775,58.32,15.03,3.2450297,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-11-27,29.513,22.263,25.400501,0.0,0.0,0.0,0.0,45.742672,78.479996,16.68,4.387447,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-11-28,25.013,22.663,24.3755,0.0,0.0,0.0,0.0,39.254856,65.520004,5.97,3.543381,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-11-29,29.063,19.663,23.900501,0.0,0.0,0.0,0.0,12.303366,20.880001,18.46,3.7080622,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-11-30,27.9585,20.113,23.453938,0.0,0.0,0.0,0.0,11.119281,17.28,15.44,2.9795117,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-12-01,28.9085,21.508501,24.7835,0.0,0.0,0.0,0.0,10.805998,15.119999,13.58,2.7729654,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-12-02,29.3085,21.5585,24.796001,0.0,0.0,0.0,0.0,10.163227,40.32,17.8,3.4149437,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-12-03,28.008501,22.4585,24.477251,0.3,0.0,0.3,0.0,37.84283,39.239998,17.18,3.4812694,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-12-04,23.508501,20.1085,21.88975,0.0,0.0,0.0,0.0,29.738703,17.64,12.54,3.1478615,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-12-05,25.508501,19.6585,21.983501,0.0,0.0,0.0,0.0,9.885262,20.880001,12.48,2.3586268,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-12-06,28.5585,20.7085,23.946,0.0,0.0,0.0,0.0,11.923557,22.319998,17.19,3.3139281,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
2025-12-07,29.5585,21.008501,24.3835,0.0,0.0,0.0,0.0,35.296524,10.08,17.49,3.5109272,Veracruz,Golfo,19.1738,-96.1342,2025-11-23,forecast
