date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum,apparent_temperature_max,apparent_temperature_min,daylight_duration,state,latitude,longitude,region,capital,elevation,variables_count,thermal_range,growing_degree_days,chill_hours_estimate,frost_risk,heat_stress_risk,extreme_heat_risk,is_dry_day,is_rainy_day,heavy_rain_day,high_radiation_day,optimal_radiation,daylight_hours,month,day_of_year,week_of_year,agricultural_season,rainy_season
2025-10-20 06:00:00+00:00,33.429,14.979,24.2165,0.0,8.6867485,16.61,30.813602,12.290506,40376.863,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,18.45,14.204,0,0,0,0,1,0,0,0,1,11.2157955,10,293,43,otoño,transicion
2025-10-21 06:00:00+00:00,33.529,17.879,25.556084,0.0,10.134496,15.08,31.03901,15.619682,40262.652,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.65,15.703999,0,0,0,0,1,0,0,0,1,11.18407,10,294,43,otoño,transicion
2025-10-22 06:00:00+00:00,33.128998,19.578999,25.104002,0.0,33.890705,16.34,30.578526,17.86498,40148.86,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,13.549999,16.353998,0,0,0,0,1,0,0,0,1,11.152461,10,295,43,otoño,transicion
2025-10-23 06:00:00+00:00,31.428999,15.8289995,23.583168,0.0,21.054615,16.04,29.103092,14.153673,40035.582,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.599999,13.629,0,0,0,0,1,0,0,0,1,11.120995,10,296,43,otoño,transicion
2025-10-24 06:00:00+00:00,34.329,18.229,25.87692,0.0,8.688613,16.0,32.167347,16.690899,39922.914,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,16.099998,16.279,0,0,0,0,1,0,0,0,1,11.089699,10,297,43,otoño,transicion
2025-10-25 06:00:00+00:00,34.878998,18.178999,26.051916,0.0,10.783486,15.89,32.078453,16.543842,39810.97,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,16.699999,16.529,0,0,0,0,1,0,0,0,1,11.058602,10,298,43,otoño,transicion
2025-10-26 06:00:00+00:00,35.779,16.479,25.406084,0.0,9.6480665,16.13,32.841026,15.003372,39699.844,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,19.3,16.129,0,0,0,0,1,0,0,0,1,11.027735,10,299,43,otoño,transicion
2025-10-27 06:00:00+00:00,33.029,17.729,24.937332,0.0,11.612441,15.72,30.53852,19.010012,39589.65,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.299999,15.379,0,0,0,0,1,0,0,0,1,10.997125,10,300,44,otoño,transicion
2025-10-28 06:00:00+00:00,34.878998,18.629,26.401915,0.0,12.351988,15.62,31.060623,16.660606,39480.49,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,16.249998,16.753998,0,0,0,0,1,0,0,0,1,10.966803,10,301,44,otoño,transicion
2025-10-29 06:00:00+00:00,34.579,19.229,26.379004,0.0,11.375658,15.83,30.811165,15.73917,39372.47,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.349998,16.904,0,0,0,0,1,0,0,0,1,10.936797,10,302,44,otoño,transicion
2025-10-30 06:00:00+00:00,34.128998,18.129,25.424835,0.0,8.383054,15.77,30.761341,15.937008,39265.707,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.999998,16.128998,0,0,0,0,1,0,0,0,1,10.907141,10,303,44,otoño,transicion
2025-10-31 06:00:00+00:00,33.579,16.479,24.404001,0.0,6.889557,15.4,30.149254,14.462467,39160.31,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,17.099998,15.028999,0,0,0,0,1,0,0,0,1,10.877864,10,304,44,otoño,transicion
2025-11-01 06:00:00+00:00,33.628998,17.178999,24.541504,0.0,5.426933,15.38,31.198566,15.336733,39056.4,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,16.449999,15.403999,0,0,0,0,1,0,0,0,1,10.849,11,305,44,otoño,seca
2025-11-02 06:00:00+00:00,33.529,17.678999,24.681084,0.0,5.5887027,15.25,31.179028,15.483986,38954.086,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.85,15.604,0,0,0,0,1,0,0,0,1,10.82058,11,306,44,otoño,seca
2025-11-03 06:00:00+00:00,33.279,16.979,24.581083,0.0,6.8423676,14.53,30.425034,15.665127,38853.094,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,16.3,15.129,0,0,0,0,1,0,0,0,0,10.792526,11,307,45,otoño,seca
2025-11-04 06:00:00+00:00,31.428999,15.379001,23.220665,0.0,5.0528407,14.9,30.027992,13.93437,38752.55,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,16.05,13.403999,0,0,0,0,1,0,0,0,0,10.764598,11,308,45,otoño,seca
2025-11-05 06:00:00+00:00,31.678999,15.779,23.220665,0.0,9.391102,14.66,29.44379,14.064676,38652.52,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.899999,13.729,0,0,0,0,1,0,0,0,0,10.736811,11,309,45,otoño,seca
2025-11-06 06:00:00+00:00,30.779,14.079,22.689417,0.0,8.528657,14.68,28.317554,12.39563,38553.11,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,16.699999,12.429001,0,0,0,0,1,0,0,0,0,10.709197,11,310,45,otoño,seca
2025-11-07 06:00:00+00:00,31.479,16.979,23.874834,0.0,8.856658,14.52,29.71706,16.489914,38454.414,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,14.5,14.229,0,0,0,0,1,0,0,0,0,10.681782,11,311,45,otoño,seca
2025-11-08 06:00:00+00:00,32.429,17.029,24.197746,0.0,11.616627,14.53,30.0643,15.229717,38356.56,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.400002,14.729,0,0,0,0,1,0,0,0,0,10.654599,11,312,45,otoño,seca
2025-11-09 06:00:00+00:00,32.779,17.629,24.622751,0.0,11.679213,14.43,30.22361,15.475121,38259.65,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.15,15.203999,0,0,0,0,1,0,0,0,0,10.62768,11,313,45,otoño,seca
2025-11-10 06:00:00+00:00,33.128998,17.328999,24.608168,0.0,7.6473517,14.48,30.233173,15.694279,38163.793,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,15.799999,15.228998,0,0,0,0,1,0,0,0,0,10.601053,11,314,46,otoño,seca
2025-11-11 06:00:00+00:00,31.379,17.229,23.576918,0.0,5.950899,13.41,31.620651,15.860609,38069.1,Baja California,32.6519,-115.4683,Norte_Pacifico,Mexicali,2.0,9,14.15,14.304001,0,0,0,0,1,0,0,0,0,10.574751,11,315,46,otoño,seca
